,country_code,amount,max_cap_M_m3_per_d,dataset
0,AT,8,280.79139239773855,IGG
1,BE,4,140.3956961988693,IGG
2,BG,8,280.79139239773855,IGG
3,CH,1,35.098924049717326,IGG
4,CZ,6,210.59354429830393,IGG
5,DE,36,1239.2645497004705,IGG
6,DK,1,35.098924049717326,IGG
7,EE,1,35.098924049717326,IGG
8,ES,19,666.879556944629,IGG
9,FI,3,105.29677214915198,IGG
10,FR,39,1497.251718173526,IGG
11,HR,1,35.098924049717326,IGG
12,HU,6,189.29176772078935,IGG
13,IE,1,35.098924049717326,IGG
14,IT,14,491.3849366960424,IGG
15,LT,2,70.19784809943465,IGG
16,NL,12,414.8881645468905,IGG
17,PL,10,378.62592858140783,IGG
18,PT,1,35.098924049717326,IGG
19,RO,5,175.4946202485866,IGG
20,SI,3,265.1978480994346,IGG
21,AT,8,280.79139239773855,INET_Filled
22,BE,4,140.3956961988693,INET_Filled
23,BG,8,280.79139239773855,INET_Filled
24,CH,1,35.098924049717326,INET_Filled
25,CZ,6,210.59354429830393,INET_Filled
26,DE,36,1239.2645497004705,INET_Filled
27,DK,1,35.098924049717326,INET_Filled
28,EE,1,35.098924049717326,INET_Filled
29,ES,19,666.879556944629,INET_Filled
30,FI,3,105.29677214915198,INET_Filled
31,FR,39,1497.251718173526,INET_Filled
32,HR,1,35.098924049717326,INET_Filled
33,HU,6,189.29176772078935,INET_Filled
34,IE,1,35.098924049717326,INET_Filled
35,IT,14,491.3849366960424,INET_Filled
36,LT,2,70.19784809943465,INET_Filled
37,NL,12,414.8881645468905,INET_Filled
38,PL,11,413.72485263112515,INET_Filled
39,PT,1,35.098924049717326,INET_Filled
40,RO,5,175.4946202485866,INET_Filled
41,SI,1,35.098924049717326,INET_Filled
42,SK,2,230.0989240497173,INET_Filled
43,AT,8,0.0,INET_Raw
44,BE,4,0.0,INET_Raw
45,BG,8,0.0,INET_Raw
46,CH,1,0.0,INET_Raw
47,CZ,6,0.0,INET_Raw
48,DE,36,467.75999999999993,INET_Raw
49,DK,1,0.0,INET_Raw
50,EE,1,0.0,INET_Raw
51,ES,19,0.0,INET_Raw
52,FI,3,0.0,INET_Raw
53,FR,39,168.0,INET_Raw
54,HR,1,0.0,INET_Raw
55,HU,6,0.0,INET_Raw
56,IE,1,0.0,INET_Raw
57,IT,15,0.0,INET_Raw
58,LT,2,0.0,INET_Raw
59,NL,12,28.799999999999997,INET_Raw
60,PL,11,0.0,INET_Raw
61,PT,1,0.0,INET_Raw
62,RO,5,0.0,INET_Raw
63,SI,1,0.0,INET_Raw
64,SK,2,195.0,INET_Raw
65,DE,13,no_info,LKD_Raw
