,country_code,amount,dataset
0,BE,1,IGG
1,DE,3,IGG
2,DK,1,IGG
3,EE,2,IGG
4,ES,3,IGG
5,FI,1,IGG
6,FR,1,IGG
7,HU,1,IGG
8,IT,2,IGG
9,LT,2,IGG
10,LV,1,IGG
11,NL,1,IGG
12,PL,2,IGG
13,RO,2,IGG
14,SI,1,IGG
15,BE,1,INET_Filled
16,DE,3,INET_Filled
17,DK,1,INET_Filled
18,EE,2,INET_Filled
19,ES,3,INET_Filled
20,FI,1,INET_Filled
21,FR,1,INET_Filled
22,HU,1,INET_Filled
23,IT,2,INET_Filled
24,LT,2,INET_Filled
25,LV,1,INET_Filled
26,NL,1,INET_Filled
27,PL,2,INET_Filled
28,RO,2,INET_Filled
29,SK,1,INET_Filled
30,BE,1,INET_Raw
31,DE,3,INET_Raw
32,DK,1,INET_Raw
33,EE,2,INET_Raw
34,ES,3,INET_Raw
35,FI,1,INET_Raw
36,FR,1,INET_Raw
37,HU,1,INET_Raw
38,IT,2,INET_Raw
39,LT,2,INET_Raw
40,LV,1,INET_Raw
41,NL,1,INET_Raw
42,PL,2,INET_Raw
43,RO,2,INET_Raw
44,SK,1,INET_Raw
