,country_code,amount,dataset
0,AT,25,EMAP_Raw
1,BE,28,EMAP_Raw
2,BG,83,EMAP_Raw
3,CH,6,EMAP_Raw
4,CY,3,EMAP_Raw
5,CZ,31,EMAP_Raw
6,DE,638,EMAP_Raw
7,DK,17,EMAP_Raw
8,EE,18,EMAP_Raw
9,ES,155,EMAP_Raw
10,FI,36,EMAP_Raw
11,FR,828,EMAP_Raw
12,HR,26,EMAP_Raw
13,HU,90,EMAP_Raw
14,IE,46,EMAP_Raw
15,IT,302,EMAP_Raw
16,LI,1,EMAP_Raw
17,LT,31,EMAP_Raw
18,LV,18,EMAP_Raw
19,MT,2,EMAP_Raw
20,NL,85,EMAP_Raw
21,NO,8,EMAP_Raw
22,PL,256,EMAP_Raw
23,PT,27,EMAP_Raw
24,RO,154,EMAP_Raw
25,SE,6,EMAP_Raw
26,SI,8,EMAP_Raw
27,SK,13,EMAP_Raw
28,AT,4,GIE_Raw
29,BE,2,GIE_Raw
30,BG,1,GIE_Raw
31,CZ,2,GIE_Raw
32,DE,37,GIE_Raw
33,DK,1,GIE_Raw
34,ES,7,GIE_Raw
35,FR,10,GIE_Raw
36,HR,1,GIE_Raw
37,HU,2,GIE_Raw
38,IT,6,GIE_Raw
39,LT,1,GIE_Raw
40,LV,1,GIE_Raw
41,NL,6,GIE_Raw
42,PL,4,GIE_Raw
43,PT,2,GIE_Raw
44,RO,7,GIE_Raw
45,SE,1,GIE_Raw
46,SK,2,GIE_Raw
47,AT,18,IGG
48,BE,12,IGG
49,BG,17,IGG
50,CH,3,IGG
51,CZ,13,IGG
52,DE,79,IGG
53,DK,8,IGG
54,EE,13,IGG
55,ES,51,IGG
56,FI,11,IGG
57,FR,59,IGG
58,HR,8,IGG
59,HU,10,IGG
60,IE,13,IGG
61,IT,90,IGG
62,LT,15,IGG
63,LU,1,IGG
64,LV,9,IGG
65,NL,52,IGG
66,NO,1,IGG
67,PL,29,IGG
68,PT,8,IGG
69,RO,9,IGG
70,SE,15,IGG
71,SI,11,IGG
72,AT,18,INET_Filled
73,BE,12,INET_Filled
74,BG,17,INET_Filled
75,CH,3,INET_Filled
76,CZ,13,INET_Filled
77,DE,80,INET_Filled
78,DK,8,INET_Filled
79,EE,13,INET_Filled
80,ES,51,INET_Filled
81,FI,11,INET_Filled
82,FR,59,INET_Filled
83,HR,8,INET_Filled
84,HU,10,INET_Filled
85,IE,13,INET_Filled
86,IT,92,INET_Filled
87,LT,15,INET_Filled
88,LU,1,INET_Filled
89,LV,9,INET_Filled
90,NL,52,INET_Filled
91,NO,1,INET_Filled
92,PL,31,INET_Filled
93,PT,8,INET_Filled
94,RO,9,INET_Filled
95,SE,15,INET_Filled
96,SI,3,INET_Filled
97,SK,7,INET_Filled
98,AT,26,INET_Raw
99,BE,16,INET_Raw
100,BG,19,INET_Raw
101,CH,4,INET_Raw
102,CZ,20,INET_Raw
103,DE,126,INET_Raw
104,DK,12,INET_Raw
105,EE,13,INET_Raw
106,ES,57,INET_Raw
107,FI,12,INET_Raw
108,FR,78,INET_Raw
109,HR,12,INET_Raw
110,HU,13,INET_Raw
111,IE,15,INET_Raw
112,IT,115,INET_Raw
113,LT,18,INET_Raw
114,LU,2,INET_Raw
115,LV,9,INET_Raw
116,MT,1,INET_Raw
117,NL,61,INET_Raw
118,NO,1,INET_Raw
119,PL,39,INET_Raw
120,PT,10,INET_Raw
121,RO,18,INET_Raw
122,SE,19,INET_Raw
123,SI,4,INET_Raw
124,SK,11,INET_Raw
125,AT,8,LKD_Raw
126,BE,3,LKD_Raw
127,BG,1,LKD_Raw
128,CH,6,LKD_Raw
129,DE,898,LKD_Raw
130,DK,1,LKD_Raw
131,FR,1,LKD_Raw
132,LU,1,LKD_Raw
133,NL,8,LKD_Raw
134,NO,2,LKD_Raw
135,PL,5,LKD_Raw
136,BE,1,NO_Raw
137,DE,2,NO_Raw
138,FR,1,NO_Raw
139,NO,51,NO_Raw
