,start,amount,max_cap_M_m3_per_d,dataset
0,AT,22,15.0,EMAP_Raw
1,BE,21,16.0,EMAP_Raw
2,BG,85,60.0,EMAP_Raw
3,CH,3,2.0,EMAP_Raw
4,CY,2,0.0,EMAP_Raw
5,CZ,28,20.0,EMAP_Raw
6,DE,866,390.0,EMAP_Raw
7,DK,17,17.0,EMAP_Raw
8,EE,22,21.0,EMAP_Raw
9,ES,162,137.0,EMAP_Raw
10,FI,44,42.0,EMAP_Raw
11,FR,964,669.0,EMAP_Raw
12,HR,30,30.0,EMAP_Raw
13,HU,106,94.0,EMAP_Raw
14,IE,57,55.0,EMAP_Raw
15,IT,349,235.0,EMAP_Raw
16,LT,31,26.0,EMAP_Raw
17,LV,19,17.0,EMAP_Raw
18,MT,1,0.0,EMAP_Raw
19,NL,93,63.0,EMAP_Raw
20,NO,12,0.0,EMAP_Raw
21,PL,309,250.0,EMAP_Raw
22,PT,26,24.0,EMAP_Raw
23,RO,184,165.0,EMAP_Raw
24,SE,4,4.0,EMAP_Raw
25,SI,8,7.0,EMAP_Raw
26,SK,10,4.0,EMAP_Raw
27,AT,28,28.0,IGG
28,BE,16,16.0,IGG
29,BG,15,15.0,IGG
30,CH,3,3.0,IGG
31,CZ,15,15.0,IGG
32,DE,106,106.0,IGG
33,DK,7,7.0,IGG
34,EE,12,12.0,IGG
35,ES,60,60.0,IGG
36,FI,11,11.0,IGG
37,FR,79,79.0,IGG
38,HR,7,7.0,IGG
39,HU,11,11.0,IGG
40,IE,13,13.0,IGG
41,IT,160,160.0,IGG
42,LT,16,16.0,IGG
43,LV,8,8.0,IGG
44,NL,93,93.0,IGG
45,PL,27,27.0,IGG
46,PT,7,7.0,IGG
47,RO,7,7.0,IGG
48,SE,14,14.0,IGG
49,SI,8,8.0,IGG
50,AT,28,28.0,INET_Filled
51,BE,16,16.0,INET_Filled
52,BG,15,15.0,INET_Filled
53,CH,3,3.0,INET_Filled
54,CZ,15,15.0,INET_Filled
55,DE,106,106.0,INET_Filled
56,DK,7,7.0,INET_Filled
57,EE,12,12.0,INET_Filled
58,ES,60,60.0,INET_Filled
59,FI,11,11.0,INET_Filled
60,FR,79,79.0,INET_Filled
61,HR,7,7.0,INET_Filled
62,HU,11,11.0,INET_Filled
63,IE,13,13.0,INET_Filled
64,IT,165,165.0,INET_Filled
65,LT,16,16.0,INET_Filled
66,LV,8,8.0,INET_Filled
67,NL,93,93.0,INET_Filled
68,PL,35,35.0,INET_Filled
69,PT,7,7.0,INET_Filled
70,RO,7,7.0,INET_Filled
71,SE,14,14.0,INET_Filled
72,SI,1,1.0,INET_Filled
73,SK,3,3.0,INET_Filled
74,AT,28,12.0,INET_Raw
75,BE,16,0.0,INET_Raw
76,BG,15,3.0,INET_Raw
77,CH,3,0.0,INET_Raw
78,CZ,15,2.0,INET_Raw
79,DE,106,57.0,INET_Raw
80,DK,7,4.0,INET_Raw
81,EE,12,1.0,INET_Raw
82,ES,60,0.0,INET_Raw
83,FI,11,1.0,INET_Raw
84,FR,79,0.0,INET_Raw
85,HR,7,0.0,INET_Raw
86,HU,11,0.0,INET_Raw
87,IE,13,1.0,INET_Raw
88,IT,165,1.0,INET_Raw
89,LT,16,4.0,INET_Raw
90,LV,8,1.0,INET_Raw
91,NL,93,0.0,INET_Raw
92,PL,35,12.0,INET_Raw
93,PT,7,0.0,INET_Raw
94,RO,7,3.0,INET_Raw
95,SE,14,0.0,INET_Raw
96,SI,1,0.0,INET_Raw
97,SK,3,0.0,INET_Raw
98,AT,3,0.0,LKD_Raw
99,CH,2,0.0,LKD_Raw
100,DE,1213,137.0,LKD_Raw
101,NL,4,0.0,LKD_Raw
102,PL,1,0.0,LKD_Raw
103,NO,40,13.0,NO_Raw
