,country_code,amount,dataset,max_cap_pipe2store_M_m3_per_d,max_cap_store2pipe_M_m3_per_d,max_workingGas_M_m3
0,AT,5,EMAP_Raw,no_info,no_info,no_info
1,BE,6,EMAP_Raw,no_info,no_info,no_info
2,BG,1,EMAP_Raw,no_info,no_info,no_info
3,CZ,7,EMAP_Raw,no_info,no_info,no_info
4,DE,42,EMAP_Raw,no_info,no_info,no_info
5,DK,2,EMAP_Raw,no_info,no_info,no_info
6,ES,3,EMAP_Raw,no_info,no_info,no_info
7,FR,14,EMAP_Raw,no_info,no_info,no_info
8,HR,1,EMAP_Raw,no_info,no_info,no_info
9,HU,5,EMAP_Raw,no_info,no_info,no_info
10,IT,9,EMAP_Raw,no_info,no_info,no_info
11,LV,1,EMAP_Raw,no_info,no_info,no_info
12,NL,7,EMAP_Raw,no_info,no_info,no_info
13,PL,9,EMAP_Raw,no_info,no_info,no_info
14,PT,1,EMAP_Raw,no_info,no_info,no_info
15,RO,7,EMAP_Raw,no_info,no_info,no_info
16,SE,1,EMAP_Raw,no_info,no_info,no_info
17,SK,5,EMAP_Raw,no_info,no_info,no_info
18,AT,5,GIE_Raw,98.99688884184,78.48967662456,92.2185
19,BE,1,GIE_Raw,15.980013198,8.30960686296,9.0013
20,BG,1,GIE_Raw,3.4128405768000003,3.2148581124000004,6.27
21,CZ,2,GIE_Raw,48.823418494680006,36.75308758176,34.8316
22,DE,49,GIE_Raw,668.7187705884002,376.08843214788004,254.10709999999992
23,DK,1,GIE_Raw,18.553785235200003,9.5031582912,10.82
24,ES,1,GIE_Raw,18.90072593472,11.96474026524,31.6188
25,FR,7,GIE_Raw,228.40576976280002,114.68181389052,135.00889999999998
26,HR,1,GIE_Raw,5.71037993748,4.28302064652,5.6049
27,HU,2,GIE_Raw,79.17601583448001,44.970302628,67.4258
28,IT,3,GIE_Raw,268.47364946280004,157.68171961092,194.2305
29,LV,1,GIE_Raw,10.39596492828,0.0,24.219
30,NL,5,GIE_Raw,262.2701989116,122.04299047164001,137.1218
