pointKey,from,to,inter,firm,physical,final_value
ITP-00006,AT,DE,0.0,0.0,8845127.0,8845127.0
ITP-00006,DE,AT,0.0,172963.0,10618080.0,10618080.0
ITP-00007,AT,DE,1687694.0,9589000.0,5169217.0,11276694.0
ITP-00007,DE,AT,8332344.0,9016301.0,5375557.0,17348645.0
ITP-00011,HR,HU,3035710.0,505952.0,0.0,3541662.0
ITP-00011,HU,HR,3226377.0,3226377.0,2412000.0,6452754.0
ITP-00013,DE,PL,0.0,0.0,0.0,0.0
ITP-00013,PL,DE,0.0,0.0,0.0,0.0
ITP-00015,CZ,DE,1.0,621846.0,2210160.0,2210160.0
ITP-00015,DE,CZ,1.0,3960000.0,13988013.0,13988013.0
ITP-00019,AT,DE,1687694.0,7273500.0,2164072.0,8961194.0
ITP-00019,DE,AT,8332344.0,4750155.0,2503965.0,13082499.0
ITP-00025,NL,DE,999999999.0,5000000.0,299199.0,1004999999.0
ITP-00026,NL,DE,0.0,9339299.0,16726662.0,16726662.0
ITP-00027,HU,SK,2162142.0,2162142.0,0.0,4324284.0
ITP-00027,SK,HU,5379731.0,5379731.0,3640000000.0,3640000000.0
ITP-00031,DK,DE,0.0,171616.0,0.0,171616.0
ITP-00032,HU,RO,3227415.0,3227415.0,3452000.0,6454830.0
ITP-00032,RO,HU,2199152.0,2094430.0,0.0,4293582.0
ITP-00034,BE,DE,0.0,0.0,0.0,0.0
ITP-00037,SK,AT,56626825.0,59835996.0,59155685.0,116462821.0
ITP-00038,NL,BE,999999999.0,26950000.0,21442166.0,1026949999.0
ITP-00040,AT,IT,43430987.0,50014969.0,51854127.0,93445956.0
ITP-00040,IT,AT,25268214.0,17377622.0,0.0,42645836.0
ITP-00042,HR,SI,2846879.0,322288.0,0.0,3169167.0
ITP-00042,SI,HR,2846879.0,2846879.0,2462550.0,5693758.0
ITP-00043,AT,HU,11411754.0,6378300.0,6571098.0,17790054.0
ITP-00047,DE,FR,0.0,1276500.0,10953308.0,10953308.0
ITP-00049,IT,SI,1179847.0,1179847.0,479016.0,2359694.0
ITP-00049,SI,IT,1072588.0,1072588.0,1221036.8900219998,2145176.0
ITP-00055,HU,RS,5915716.0,5915716.0,8181000.0,11831432.0
ITP-00056,AT,DE,1.0,0.0,8917699.0,8917699.0
ITP-00056,DE,AT,0.0,480000.0,10596140.0,10596140.0
ITP-00057,BE,DE,0.0,0.0,6639472.0,6639472.0
ITP-00057,DE,BE,0.0,0.0,0.0,0.0
ITP-00060,DE,NL,0.0,1.0,0.0,1.0
ITP-00060,NL,DE,0.0,10119000.0,16727461.25,16727461.25
ITP-00061,BE,UK,0.0,33476006.0,11616311.0,33476006.0
ITP-00061,UK,BE,23.0,27153206.0,11101003.0,27153229.0
ITP-00062,SK,AT,12480000.0,16337400.0,22553462.0,28817400.0
ITP-00066,NL,DE,0.0,694362.0,12365325.875,12365325.875
ITP-00068,DE,NL,2300000.0,3454000.0,0.0,5754000.0
ITP-00068,NL,DE,12300000.0,11189431.0,12432323.0,23489431.0
ITP-00069,CZ,DE,0.0,1276500.0,36301292.0,36301292.0
ITP-00071,DE,NL,0.0,0.0,0.0,0.0
ITP-00071,NL,DE,0.0,205170.0,42904.2,205170.0
ITP-00072,DE,LU,0.0,1600000.0,1118478.0,1600000.0
ITP-00072,LU,DE,0.0,0.0,0.0,0.0
ITP-00073,CZ,DE,1.0,10374804.0,36303220.0,36303220.0
ITP-00076,DE,NL,999999999.0,999999999.0,13983333.3,1999999998.0
ITP-00076,NL,DE,999999999.0,14600000.0,0.0,1014599999.0
ITP-00078,NL,DE,999999999.0,21395084.0,15525955.0,1021395083.0
ITP-00079,AT,SI,5802212.0,5802212.0,3878954.0,11604424.0
ITP-00080,NO,DE,0.0,9678147.0,18344959.48,18344959.48
ITP-00081,NO,DE,0.0,8831000.0,14167887.0,14167887.0
ITP-00083,DE,FR,1.0,12198463.0,10944000.0,12198464.0
ITP-00083,FR,DE,1.0,0.0,0.0,1.0
ITP-00088,NL,BE,999999999.0,1978000.0,3200831.0,1001977999.0
