id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
GB_CP_0;Llangynog_4605;['GB_N_0'];['SEQ_912_p'];51.79488;-4.33246;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_1;Llanvetherine_3929;['GB_N_1'];['SEQ_920_p'];51.84587;-3.00066;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_2;Stockland_3858;['GB_N_2'];['SEQ_6155_p'];50.88064;-3.29078;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_3;Lillington_2125;['GB_N_3'];['SEQ_6153_p'];51.16264;-2.92626;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_4;Stapleford_Tawny_2813;['GB_N_4'];['N_143_L_LMGN'];51.64067;0.31713;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_5;CHELMSFORD COMPRESSOR STATION;['GB_N_5'];['SEQ_5935__L_LMGN'];51.76605;0.22238;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_6;Severnside_ICI_4013;['GB_N_6'];['SEQ_6151_p'];51.54194;-2.43545;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_7;Whitwell_8131;['GB_N_7'];['SEQ_8235__L_LMGN'];51.87718;-0.29269;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_8;Middle_stoke_2726;['GB_N_8'];['SEQ_3469_p'];51.42845;0.41368;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_9;Mawdesley_4517;['GB_N_9'];['SEQ_724_p'];53.59479;-2.66254;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_10;Stockcross_2039;['GB_N_10'];['SEQ_2224_p'];51.35249;-1.43093;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_11;Peterborough_Tee_1232;['GB_N_11'];['INET_N_1134'];52.57784;-0.19793;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_12;Helpston_1235;['GB_N_12'];['INET_N_1134'];52.57784;-0.19793;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_13;Hollinsgreen_4522;['GB_N_13'];['N_41_L_LMGN'];53.16505;-2.41008;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_14;Helsby_4115;['GB_N_14'];['N_409_M_LMGN'];53.31725;-2.70165;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_15;Hays_Chemicals_7039;['GB_N_15'];['N_41_L_LMGN'];53.16505;-2.41008;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_16;Scotby_4425;['GB_N_16'];['SEQ_1322_p'];54.87009;-2.82644;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_17;Great_Raveley_2015;['GB_N_17'];['SEQ_2533_p'];52.353;-0.34515;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_18;Murrow_2011;['GB_N_18'];['N_190_L_LMGN'];52.73175;0.1489;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_19;Kirklevington_1641;['GB_N_19'];['SEQ_2354_p'];54.45556;-1.31155;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_20;Elworth_4523;['GB_N_20'];['N_41_L_LMGN'];53.16505;-2.41008;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_21;Ascol_Drive_4521;['GB_N_21'];['SEQ_4283__L_LMGN'];53.30644;-2.43001;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_22;Birch_heath_4524;['GB_N_22'];['N_414_M_LMGN'];53.15061;-2.71693;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_23;Backbarrow_6607;['GB_N_23'];['SEQ_1318_p'];54.23252;-3.10147;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_24;Pennington_6605;['GB_N_24'];['SEQ_1318_p'];54.23252;-3.10147;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_25;Meal_Bank_4435;['GB_N_25'];['N_96_L_LMGN'];54.24529;-2.73681;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_26;Banks_4211;['GB_N_26'];['SEQ_1389_p'];54.9831;-2.60482;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_27;Grayrigg_4343;['GB_N_27'];['SEQ_1320_p'];54.4624;-2.6657;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_28;Shap_4341;['GB_N_28'];['SEQ_1320_p'];54.4624;-2.6657;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_29;Plumpton_head_4429;['GB_N_29'];['SEQ_1321_p'];54.67108;-2.69474;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_30;Lazonby_4337;['GB_N_30'];['SEQ_1322_p'];54.87009;-2.82644;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_31;Child_Okeford_2121;['GB_N_31'];['SEQ_6153_p'];51.16264;-2.92626;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_32;Tarrant_Hinton_2119;['GB_N_32'];['N_273_L_LMGN'];51.16405;-1.41153;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_33;Brandon_6377;['GB_N_33'];['SEQ_3167__L_LMGN'];54.67153;-1.62809;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_34;Crook_4223;['GB_N_34'];['SEQ_3167__L_LMGN'];54.67153;-1.62809;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_35;Sedgefield_5011;['GB_N_35'];['SEQ_5415__M_LMGN'];54.63418;-1.58485;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_36;Lanchester_6375;['GB_N_36'];['N_59_L_LMGN'];54.84541;-1.96279;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_37;Dymock_3919;['GB_N_37'];['SEQ_922_p'];51.94742;-2.47717;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_38;Martin_2117;['GB_N_38'];['N_273_L_LMGN'];51.16405;-1.41153;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_39;Michelmersh_2111;['GB_N_39'];['N_273_L_LMGN'];51.16405;-1.41153;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_40;Beltoft_1753;['GB_N_40'];['SEQ_4159__L_LMGN'];53.55272;-0.77249;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_41;Dunton_Green_2723;['GB_N_41'];['N_144_L_LMGN'];51.27025;0.00048;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_42;Longridge_4355;['GB_N_42'];['SEQ_4295__L_LMGN'];53.93245;-2.75124;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_43;Nateby_4513;['GB_N_43'];['SEQ_4295__L_LMGN'];53.93245;-2.75124;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_44;Bretherton_4445;['GB_N_44'];['SEQ_725_p'];53.76864;-2.75928;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_45;Galgate_4439;['GB_N_45'];['SEQ_4295__L_LMGN'];53.93245;-2.75124;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_46;Cosby_1441;['GB_N_46'];['N_92_L_LMGN'];52.46208;-1.26066;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_47;Kirkby_Mallory_1443;['GB_N_47'];['SEQ_714_p'];52.5813;-1.45438;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_48;Tranwell_6367;['GB_N_48'];['SEQ_1353__L_LMGN'];55.12632;-1.78138;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_49;Long_Horsley_4921;['GB_N_49'];['SEQ_2508_p'];55.28274;-1.69515;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_50;Blanchland_4219;['GB_N_50'];['N_59_L_LMGN'];54.84541;-1.96279;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_51;Blanchland_4219;['GB_N_51'];['N_59_L_LMGN'];54.84541;-1.96279;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_52;Muggleswick_6373;['GB_N_52'];['N_59_L_LMGN'];54.84541;-1.96279;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_53;Ovington_6371;['GB_N_53'];['SEQ_2510_p'];54.95872;-1.9552;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_54;Saddlebow_1422;['GB_N_54'];['SEQ_2405_p'];52.69164;0.57907;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_55;Fairstead_1511;['GB_N_55'];['SEQ_4269__L_LMGN'];52.73661;1.37323;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_56;Lutton_1921;['GB_N_56'];['SEQ_2533_p'];52.353;-0.34515;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_57;Sutton_Howgrave_4819;['GB_N_57'];['SEQ_4717_p'];54.24017;-1.52786;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_58;Yafforth_5015;['GB_N_58'];['SEQ_3473_p'];54.31084;-1.45591;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_59;South_Duffield_1765;['GB_N_59'];['SEQ_867_p'];53.74926;-1.00121;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_60;Heapy_Dam_4359;['GB_N_60'];['SEQ_724_p'];53.59479;-2.66254;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_61;Kirkby_underwood_1917;['GB_N_61'];['SEQ_2228_p'];52.72566;-0.42169;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_62;Little_Cawthorpe_6701;['GB_N_62'];['SEQ_4393_p'];53.32079;0.01726;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
GB_CP_63;Ludford_1909;['GB_N_63'];['N_184_L_LMGN'];53.3626;-0.24985;GB;None;{'end_year': 2050, 'start_year': 1983};{'end_year': 20, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)'};{}
