id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_EP_0;Almeria;['INET_EP_0'];['SEQ_5555_p'];36.67306;-2.21645;XX;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
INET_EP_1;Bacton;['INET_EP_1'];['SEQ_4269__L_LMGN'];52.73661;1.37323;GB;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
INET_EP_2;Balgzand;['INET_EP_2'];['N_320_NS_LMGN'];52.85142;4.84876;NL;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
INET_EP_3;Beregdaroc;['INET_EP_3'];['SEQ_4057_p'];48.18885;22.59206;HU;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
INET_EP_4;Budince;['INET_EP_4'];['INET_N_1561'];48.54841;22.12217;SK;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
INET_EP_5;Burton Point;['INET_EP_5'];['GB_N_94'];53.23488;-3.05192;GB;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
INET_EP_6;Dornum;['INET_EP_6'];['LKD_N_161'];53.6525;7.41631;DE;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
INET_EP_7;Drozdwicze;['INET_EP_7'];['SEQ_2014_p'];49.8607;23.59986;UA;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
INET_EP_8;Dunkerque;['INET_EP_8'];['N_3_NS_LMGN'];51.03396;2.19267;XX;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
INET_EP_9;Easington;['INET_EP_9'];['NO_N_42'];53.65707;0.11659;XX;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
INET_EP_10;Emden;['INET_EP_10'];['NO_N_19'];53.34383;7.1971;DE;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
INET_EP_11;Gateway;['INET_EP_11'];['INET_N_1254'];54.10237;-3.18694;GB;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
INET_EP_12;Gela;['INET_EP_12'];['N_135_S_LMGN'];37.14335;14.19107;IT;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
INET_EP_13;Greifswald;['INET_EP_13'];['SEQ_1551_p'];54.57112;13.71073;XX;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
INET_EP_14;Herbrandston;['INET_EP_14'];['N_93_L_LMGN'];51.72575;-5.07926;GB;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
INET_EP_15;Imatra;['INET_EP_15'];['SEQ_1946_p'];61.17337;28.71409;FI;None;{'end_year': 2050, 'exact': 3, 'start_year': 1983, 'max_supply_M_m3_per_d': 122};{'end_year': 20, 'exact': 0, 'start_year': 20, 'max_supply_M_m3_per_d': 0};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'make_Attrib(const)'};{}
