id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_LG_0;Alexandroupolis;['INET_LG_0'];['INET_N_28'];40.93993;25.9941;GR;None;{'end_year': 2050, 'exact': 3, 'max_cap_store2pipe_M_m3_per_d': 16.71232876712329, 'max_workingGas_M_m3': 110.92671200000001, 'median_cap_store2pipe_M_m3_per_d': 15.82620134559606, 'start_year': 2022.0, 'is_H_gas': 1};{'end_year': 20, 'exact': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 1.9410609617201653, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'Lasso(max_cap_store2pipe_M_m3_per_d, max_workingGas_M_m3)', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_1;Barcelona;['INET_LG_1', 'GIE_LG_2'];['N_1146_S_LMGN'];41.3965;2.15125;ES;None;{'end_year': 2050, 'exact': 3, 'max_cap_store2pipe_M_m3_per_d': 51.1831809156, 'max_workingGas_M_m3': 489.28688, 'median_cap_store2pipe_M_m3_per_d': 51.1831809156, 'start_year': 1969.0, 'is_H_gas': 1};{'end_year': 20, 'exact': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_2;Bilbao;['INET_LG_2', 'GIE_LG_1'];['N_340_M_LMGN'];43.35362;-3.09859;ES;None;{'end_year': 2050, 'exact': 3, 'max_cap_store2pipe_M_m3_per_d': 20.9955689628, 'max_workingGas_M_m3': 262.11672, 'median_cap_store2pipe_M_m3_per_d': 20.9955689628, 'start_year': 2003.0, 'is_H_gas': 1};{'end_year': 20, 'exact': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_4;Cartagena;['INET_LG_4', 'GIE_LG_3'];['INET_N_413'];37.61455;-0.9921;ES;None;{'end_year': 2050, 'exact': 3, 'max_cap_store2pipe_M_m3_per_d': 35.4294333912, 'max_workingGas_M_m3': 341.92032, 'median_cap_store2pipe_M_m3_per_d': 35.4294333912, 'start_year': 1989.0, 'is_H_gas': 1};{'end_year': 20, 'exact': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_5;Delimara;['INET_LG_5'];['INET_N_350'];35.82884;14.55652;MT;Malta;{'end_year': 2050, 'exact': 3, 'max_cap_store2pipe_M_m3_per_d': 1.643835616438356, 'max_workingGas_M_m3': 81.644368, 'median_cap_store2pipe_M_m3_per_d': 3.1621134788547467, 'start_year': 2017.0, 'is_H_gas': 1};{'end_year': 20, 'exact': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 1.9410609617201653, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'Lasso(max_cap_store2pipe_M_m3_per_d, max_workingGas_M_m3)', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_6;Dragon;['INET_LG_6'];['INET_N_1128'];51.69544;-4.98918;XX;Milford Haven South Wales;{'end_year': 2050, 'exact': 3, 'max_cap_store2pipe_M_m3_per_d': 20.82191780821918, 'max_workingGas_M_m3': 208.871104, 'median_cap_store2pipe_M_m3_per_d': 20.65131057196341, 'start_year': 2009.0, 'is_H_gas': 1};{'end_year': 20, 'exact': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 1.9410609617201653, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'Lasso(max_cap_store2pipe_M_m3_per_d, max_workingGas_M_m3)', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_7;Dunkerque;['INET_LG_7', 'GIE_LG_9'];['N_3_NS_LMGN'];51.03396;2.19267;XX;None;{'end_year': 2050, 'exact': 3, 'max_cap_store2pipe_M_m3_per_d': 49.005373807199994, 'max_workingGas_M_m3': 350.4, 'median_cap_store2pipe_M_m3_per_d': 49.005373807199994, 'start_year': 2016.0, 'is_H_gas': 1};{'end_year': 20, 'exact': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_8;El Ferrol;['INET_LG_8', 'GIE_LG_6'];['INET_N_423'];43.48965;-8.21935;ES;None;{'end_year': 2050, 'exact': 3, 'max_cap_store2pipe_M_m3_per_d': 10.8607523328, 'max_workingGas_M_m3': 175.2, 'median_cap_store2pipe_M_m3_per_d': 10.8607523328, 'start_year': 2007.0, 'is_H_gas': 1};{'end_year': 20, 'exact': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_9;El Musel;['INET_LG_9'];['INET_N_424'];43.534;-5.664;ES;Musel;{'end_year': 2050, 'exact': 3, 'max_cap_store2pipe_M_m3_per_d': 19.17808219178082, 'max_workingGas_M_m3': 195.744536, 'median_cap_store2pipe_M_m3_per_d': 19.118374634025933, 'start_year': 2012.0, 'is_H_gas': 1};{'end_year': 20, 'exact': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 1.9410609617201653, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'Lasso(max_cap_store2pipe_M_m3_per_d, max_workingGas_M_m3)', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_10;Fos Cavaou;['INET_LG_10', 'GIE_LG_10'];['INET_N_504'];43.4297;4.90212;XX;None;{'end_year': 2050, 'exact': 3, 'max_cap_store2pipe_M_m3_per_d': 28.2832092, 'max_workingGas_M_m3': 192.72, 'median_cap_store2pipe_M_m3_per_d': 25.0589233512, 'start_year': 2020.0, 'is_H_gas': 1};{'end_year': 20, 'exact': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_11;Fos Tonkin;['INET_LG_11', 'GIE_LG_7'];['INET_N_503'];43.454;4.85167;FR;None;{'end_year': 2050, 'exact': 3, 'max_cap_store2pipe_M_m3_per_d': 15.7537475244, 'max_workingGas_M_m3': 87.6, 'median_cap_store2pipe_M_m3_per_d': 9.0411992076, 'start_year': 1972.0, 'is_H_gas': 1};{'end_year': 20, 'exact': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_12;Gate Rotterdam;['INET_LG_12', 'GIE_LG_18'];['INET_N_442'];51.96542;4.07782;NL;Rotterdam;{'end_year': 2050, 'exact': 3, 'max_cap_store2pipe_M_m3_per_d': 43.461864804, 'max_workingGas_M_m3': 315.36, 'median_cap_store2pipe_M_m3_per_d': 43.461864804, 'start_year': 2018.0, 'is_H_gas': 1};{'end_year': 20, 'exact': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'exact': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
