id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_N_1469;INET_N_1469;['IT_930'];['INET_N_1469'];46.50553;13.59281;IT;None;{};{};{};{}
INET_N_76;INET_N_76;['AT_836'];['INET_N_76'];46.54999;13.70576;AT;None;{};{};{};{}
INET_N_418;INET_N_418;['DK_62'];['INET_N_418'];55.61756;9.31229;DK;None;{};{};{};{}
INET_N_429;INET_N_429;['DE_64'];['INET_N_429'];54.80396;9.28701;DE;None;{};{};{};{}
INET_N_775;INET_N_775;['PL_110'];['INET_N_775'];53.01781;23.89641;PL;None;{};{};{};{}
INET_N_1653;INET_N_1653;['PL_244'];['INET_N_1653'];52.98499;22.24139;PL;None;{};{};{};{}
INET_N_301;INET_N_301;['PL_50'];['INET_N_301'];52.88148;20.61979;PL;None;{};{};{};{}
INET_N_911;INET_N_911;['IT_126'];['INET_N_911'];46.50373;13.41605;IT;None;{};{};{};{}
INET_N_988;INET_N_988;['IT_1298'];['INET_N_988'];38.02284;15.01303;IT;None;{};{};{};{}
INET_N_957;INET_N_957;['IT_134'];['INET_N_957'];38.27208;15.58877;IT;None;{};{};{};{}
INET_N_981;INET_N_981;['IT_1301'];['INET_N_981'];46.39854;13.18667;IT;None;{};{};{};{}
INET_N_1248;INET_N_1248;['IT_1304'];['INET_N_1248'];41.55;13.66;IT;None;{};{};{};{}
SEQ_23_p;None;['SEQ_23_p'];['SEQ_23_p'];42.21039;13.913;IT;None;{};{};{};{}
INET_N_1145;INET_N_1145;['IT_1305'];['INET_N_1145'];42.60635;14.06735;IT;None;{};{};{};{}
INET_N_1266;INET_N_1266;['AT_187'];['INET_N_1266'];46.67419;14.75685;AT;None;{};{};{};{}
INET_N_1306;INET_N_1306;['TR_1308'];['INET_N_1306'];40.96319;26.38318;TR;None;{};{};{};{}
INET_N_952;INET_N_952;['GR_105'];['INET_N_952'];40.97174;26.30945;GR;None;{};{};{};{}
