id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
Prod0;Prod0;['EntsoG_Map_Prod_0'];['Prod_0'];54.18307;-11.04853;XX;None;{'is_H_gas': 1, 'max_supply_M_m3_per_d': 1318.537459156476, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 0.5, 'max_supply_M_m3_per_d': 915.7496059672769, 'end_year': 20, 'start_year': 20, 'status': 0};{'is_H_gas': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'Median(max_supply_M_m3_per_d)', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
Prod1;Prod1;['EntsoG_Map_Prod_1'];['Prod_1'];43.15539;28.09757;XX;None;{'is_H_gas': 1, 'max_supply_M_m3_per_d': 1318.537459156476, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 0.5, 'max_supply_M_m3_per_d': 915.7496059672769, 'end_year': 20, 'start_year': 20, 'status': 0};{'is_H_gas': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'Median(max_supply_M_m3_per_d)', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
Prod2;Prod2;['EntsoG_Map_Prod_2'];['Prod_2'];34.39425;12.49689;XX;None;{'is_H_gas': 1, 'max_supply_M_m3_per_d': 1318.537459156476, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 0.5, 'max_supply_M_m3_per_d': 915.7496059672769, 'end_year': 20, 'start_year': 20, 'status': 0};{'is_H_gas': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'Median(max_supply_M_m3_per_d)', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
Prod3;Prod3;['EntsoG_Map_Prod_3'];['Prod_3'];45.42187;36.37273;UA;None;{'is_H_gas': 1, 'max_supply_M_m3_per_d': 1318.537459156476, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 0.5, 'max_supply_M_m3_per_d': 915.7496059672769, 'end_year': 20, 'start_year': 20, 'status': 0};{'is_H_gas': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'Median(max_supply_M_m3_per_d)', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
Prod4;Prod4;['EntsoG_Map_Prod_4'];['Prod_4'];43.15453;28.39614;XX;None;{'is_H_gas': 1, 'max_supply_M_m3_per_d': 1318.537459156476, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 0.5, 'max_supply_M_m3_per_d': 915.7496059672769, 'end_year': 20, 'start_year': 20, 'status': 0};{'is_H_gas': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'Median(max_supply_M_m3_per_d)', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
Prod5;Prod5;['EntsoG_Map_Prod_5'];['Prod_5'];43.1029;28.06088;XX;None;{'is_H_gas': 1, 'max_supply_M_m3_per_d': 1318.537459156476, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 0.5, 'max_supply_M_m3_per_d': 915.7496059672769, 'end_year': 20, 'start_year': 20, 'status': 0};{'is_H_gas': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'Median(max_supply_M_m3_per_d)', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
Prod6;Prod6;['EntsoG_Map_Prod_6', 'LKD_803071'];['N_33_S_LMGN'];52.27421;3.79793;XX;None;{'is_H_gas': 1, 'max_supply_M_m3_per_d': 1244.4948401351544, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 0, 'max_supply_M_m3_per_d': 0.0, 'end_year': 20, 'start_year': 20, 'status': 0};{'is_H_gas': 'raw', 'max_supply_M_m3_per_d': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
Prod7;Prod7;['EntsoG_Map_Prod_7'];['Prod_7'];45.51566;34.97778;UA;None;{'is_H_gas': 1, 'max_supply_M_m3_per_d': 1318.537459156476, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 0.5, 'max_supply_M_m3_per_d': 915.7496059672769, 'end_year': 20, 'start_year': 20, 'status': 0};{'is_H_gas': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'Median(max_supply_M_m3_per_d)', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
Prod8;Prod8;['EntsoG_Map_Prod_8', 'LKD_8090710'];['Prod_8'];55.51782;4.15898;XX;None;{'is_H_gas': 1, 'max_supply_M_m3_per_d': 3647.381270669203, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 0, 'max_supply_M_m3_per_d': 0.0, 'end_year': 20, 'start_year': 20, 'status': 0};{'is_H_gas': 'raw', 'max_supply_M_m3_per_d': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
Prod9;Prod9;['EntsoG_Map_Prod_9'];['Prod_9'];53.72259;-3.51561;XX;None;{'is_H_gas': 1, 'max_supply_M_m3_per_d': 1318.537459156476, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 0.5, 'max_supply_M_m3_per_d': 915.7496059672769, 'end_year': 20, 'start_year': 20, 'status': 0};{'is_H_gas': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'Median(max_supply_M_m3_per_d)', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
Prod10;Prod10;['EntsoG_Map_Prod_10'];['Prod_10'];32.12608;34.42415;XX;None;{'is_H_gas': 1, 'max_supply_M_m3_per_d': 1318.537459156476, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 0.5, 'max_supply_M_m3_per_d': 915.7496059672769, 'end_year': 20, 'start_year': 20, 'status': 0};{'is_H_gas': 'make_Attrib(const)', 'max_supply_M_m3_per_d': 'Median(max_supply_M_m3_per_d)', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
