,name,nearshore,onshore,total_onshore,total_offshore,total_kwh
0,AL,0.0,52737503257.72707,52737503257.72707,0.0,52737503257.72707
1,GR,114036394641.29591,0.0,114036394641.29591,27131360063.38894,141167754704.68484
2,FR,0.0,533686518120.6711,533686518120.6711,0.0,533686518120.6711
3,BA,0.0,845187175333.9899,845187175333.9899,0.0,845187175333.9899
4,RO,0.0,1135740167090.9595,1135740167090.9595,0.0,1135740167090.9595
5,ES,315587334439.55273,1001130608134.2391,1316717942573.7917,0.0,1316717942573.7917
6,PT,384331978606.8649,0.0,384331978606.8649,3027853329527.7295,3412185308134.594
7,PL,117856915967.42941,7264510435445.168,7382367351412.598,0.0,7382367351412.598
8,NO,0.0,0.0,0.0,7882417251644.273,7882417251644.273
9,DK,671602522788.7153,0.0,671602522788.7153,7210683208674.098,7882285731462.8125
10,GB,1232950531535.5942,0.0,1232950531535.5942,8366099623507.966,9599050155043.56
11,NL,134382960002.38152,289712641410.1047,424095601412.4862,10522315115208.904,10946410716621.39
12,DE,4510461856576.322,4931958563840.19,9442420420416.512,27446413535521.95,36888833955938.46
