id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
EMAP_PD_0;Prod0;['EMAP_PD_0'];['EMAP_N_196'];45.37628450555964;36.31712445152946;UA;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_1;Prod1;['EMAP_PD_1'];['EMAP_N_196'];45.37628450555964;36.31712445152946;UA;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_2;Prod2;['EMAP_PD_2'];['EMAP_N_196'];45.37628450555964;36.31712445152946;UA;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_3;Prod3;['EMAP_PD_3'];['EMAP_N_197'];45.51450872593145;34.98393237438377;UA;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_4;Prod4;['EMAP_PD_4'];['EMAP_N_196'];45.37628450555964;36.31712445152946;UA;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_5;Prod37;['EMAP_PD_5'];['EMAP_N_196'];45.37628450555964;36.31712445152946;UA;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_6;Prod38;['EMAP_PD_6'];['EMAP_N_197'];45.51450872593145;34.98393237438377;UA;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_7;Prod0;['EMAP_PD_7'];['EMAP_N_198'];60.052963539626234;30.2709919062851;RU;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_8;Prod84;['EMAP_PD_8'];['EMAP_N_198'];60.052963539626234;30.2709919062851;RU;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_9;Prod0;['EMAP_PD_9'];['EMAP_N_199'];31.878145071945863;32.86480224913371;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_10;Prod1;['EMAP_PD_10'];['EMAP_N_200'];31.94886768086768;32.81998120701969;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_11;Prod2;['EMAP_PD_11'];['EMAP_N_201'];32.023273431434475;32.47416012548336;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_12;Prod3;['EMAP_PD_12'];['EMAP_N_202'];32.044719360378124;30.122316628564406;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_13;Prod4;['EMAP_PD_13'];['EMAP_N_203'];31.897308578127355;34.54251126096466;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_14;Prod5;['EMAP_PD_14'];['EMAP_N_204'];31.95768033195629;32.79417304428681;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_15;Prod6;['EMAP_PD_15'];['EMAP_N_205'];32.079740759481794;32.24155891263087;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_16;Prod7;['EMAP_PD_16'];['EMAP_N_206'];32.10294385930149;30.166586547202975;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_17;Prod8;['EMAP_PD_17'];['EMAP_N_207'];32.01572951770443;32.51092414717448;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_18;Prod9;['EMAP_PD_18'];['EMAP_N_208'];32.18595067184429;31.17319789608935;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_19;Prod10;['EMAP_PD_19'];['EMAP_N_209'];32.222385478836095;34.7851164660485;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_20;Prod11;['EMAP_PD_20'];['EMAP_N_210'];32.330642697135104;29.45003308431064;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_21;Prod12;['EMAP_PD_21'];['EMAP_N_211'];32.4169753543629;34.70715121332572;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_22;Prod13;['EMAP_PD_22'];['EMAP_N_212'];32.250339032257116;30.525057034540026;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_23;Prod14;['EMAP_PD_23'];['EMAP_N_213'];32.190484706596706;31.12755406544013;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_24;Prod15;['EMAP_PD_24'];['EMAP_N_214'];32.48163611534284;31.839652940473293;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
EMAP_PD_25;Prod16;['EMAP_PD_25'];['EMAP_N_215'];32.20415602085289;30.98971585879132;XX;None;{'exact': 3};{'exact': 0};{'exact': 'make_Attrib(const)'};{}
