id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
GIE_N_0;Zeebrugge LNG Terminal;['GIE_LG_0'];['GIE_N_0'];51.323;3.213;BE;None;{'eic_code': '21X000000001006T', 'exact': 2, 'facility_code': '21W0000000001245', 'name_short': 'Zeebrugge', 'elevation_m': 1};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_1;Bilbao LNG Terminal;['GIE_LG_1'];['GIE_N_1'];43.3612;-3.09473;ES;None;{'eic_code': '21X000000001352A', 'exact': 2, 'facility_code': '21W0000000000362', 'name_short': 'Bilbao', 'elevation_m': 101};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_2;Barcelona LNG Terminal;['GIE_LG_2'];['GIE_N_2'];41.398;2.174;ES;None;{'eic_code': '21X000000001254A', 'exact': 2, 'facility_code': '21W000000000039X', 'name_short': 'Barcelona', 'elevation_m': 59};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_3;Cartagena LNG Terminal;['GIE_LG_3'];['GIE_N_3'];37.624;-0.998;ES;None;{'eic_code': '21X000000001254A', 'exact': 2, 'facility_code': '21W000000000038Z', 'name_short': 'Cartagena', 'elevation_m': 21};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_4;Huelva LNG Terminal;['GIE_LG_4'];['GIE_N_4'];37.2615;-6.9422;ES;None;{'eic_code': '21X000000001254A', 'exact': 2, 'facility_code': '21W0000000000370', 'name_short': 'Huelva', 'elevation_m': 16};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_5;Sagunto LNG Terminal;['GIE_LG_5'];['GIE_N_5'];39.6329;-0.2152;ES;None;{'eic_code': '18XTGPRS-12345-G', 'exact': 2, 'facility_code': '21W0000000000354', 'name_short': 'Sagunto', 'elevation_m': 29};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_6;Mugardos LNG Terminal;['GIE_LG_6'];['GIE_N_6'];43.4578;-8.253;ES;None;{'eic_code': '18XRGNSA-12345-V', 'exact': 2, 'facility_code': '21W0000000000338', 'name_short': 'Mugardos', 'elevation_m': 42};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_7;Fos Tonkin LNG Terminal;['GIE_LG_7'];['GIE_N_7'];43.454;4.85167;FR;None;{'eic_code': '21X0000000010679', 'exact': 1, 'facility_code': '63W179356656691A', 'name_short': 'FosTonkin', 'elevation_m': 3};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_8;Montoir de Bretagne LNG Terminal;['GIE_LG_8'];['GIE_N_8'];47.32;-2.14;FR;None;{'eic_code': '21X0000000010679', 'exact': 2, 'facility_code': '63W631527814486R', 'name_short': 'MontoirDeBretagne', 'elevation_m': 3};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_9;Dunkerque LNG Terminal;['GIE_LG_9'];['GIE_N_9'];51.033134;2.194792;FR;None;{'eic_code': '21X000000001331I', 'exact': 1, 'facility_code': '21W0000000000451', 'name_short': 'Dunkerque', 'elevation_m': 1};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_10;Fos Cavaou LNG Terminal;['GIE_LG_10'];['GIE_N_10'];43.42239;4.89863;FR;None;{'eic_code': '21X000000001070K', 'exact': 1, 'facility_code': '63W943693783886F', 'name_short': 'FosCavaou', 'elevation_m': 2};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_11;Isle of Grain LNG Terminal;['GIE_LG_11'];['GIE_N_11'];51.45;0.711;GB;None;{'eic_code': '21X-GB-A-A0A0A-7', 'exact': 4, 'facility_code': '21W000000000099F', 'name_short': 'IsleofGrain', 'elevation_m': 2};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_12;South Hook LNG Terminal;['GIE_LG_12'];['GIE_N_12'];51.713781;-5.078012;GB;None;{'eic_code': '21X0000000013554', 'exact': 1, 'facility_code': '21W0000000000419', 'name_short': 'SouthHook', 'elevation_m': 38};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_13;Revythoussa LNG Terminal;['GIE_LG_13'];['GIE_N_13'];37.96;23.4023;GR;None;{'eic_code': '21X-GR-A-A0A0A-G', 'exact': 2, 'facility_code': '21W000000000040B', 'name_short': 'Revythoussa', 'elevation_m': 13};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_14;Panigaglia LNG Terminal;['GIE_LG_14'];['GIE_N_14'];44.073876;9.830632;IT;None;{'eic_code': '26X00000117915-0', 'exact': 1, 'facility_code': '59W0000000000011', 'name_short': 'Panigaglia', 'elevation_m': 0};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_15;FSRU OLT Offshore LNG Toscana;['GIE_LG_15'];['GIE_N_15'];43.548;10.2808;IT;None;{'eic_code': '21X000000001109G', 'exact': 2, 'facility_code': '21W0000000000443', 'name_short': 'Toscana', 'elevation_m': 4};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
GIE_N_16;Porto Levante LNG Terminal;['GIE_LG_16'];['GIE_N_16'];45.0488357;12.3639697;IT;None;{'eic_code': '21X000000001360B', 'exact': 2, 'facility_code': '21W000000000082W', 'name_short': 'PortoLevante', 'elevation_m': -1};{'eic_code': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'elevation_m': 'unknown'};{'eic_code': 'raw', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'elevation_m': 'bing API'};{}
