id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
GIE_SR_21;UGS Haidach (astora);['GIE_SR_21'];['GIE_N_21'];47.9867;13.232375;AT;None;{'eic_code': '21X000000001160J', 'facility_code': '21W000000000078N', 'max_cap_pipe2store_M_m3_per_d': 9.86046950076, 'max_cap_store2pipe_M_m3_per_d': 8.50004713824, 'max_workingGas_M_m3': 10.4435, 'name_short': 'Haidach'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
GIE_SR_22;UGS Haidach (GSA);['GIE_SR_22'];['GIE_N_21'];47.9867;13.232375;AT;None;{'eic_code': '25X-GSALLC-----E', 'facility_code': '25W-SPHAID-GAZ-M', 'max_cap_pipe2store_M_m3_per_d': 18.68388799752, 'max_cap_store2pipe_M_m3_per_d': 16.7436598464, 'max_workingGas_M_m3': 19.9928, 'name_short': 'Haidach'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
GIE_SR_23;VGS OMV Gas Storage Pool (Tallesbrunn & Schoenkirchen / Reyersdorf);['GIE_SR_23'];['GIE_N_23'];48.355222;16.778209;AT;None;{'eic_code': '25X-OMVGASSTORA5', 'facility_code': '21W000000000081Y', 'max_cap_pipe2store_M_m3_per_d': 28.63580654136, 'max_cap_store2pipe_M_m3_per_d': 19.81521636552, 'max_workingGas_M_m3': 25.2442, 'name_short': 'Tallesbrunn'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
GIE_SR_24;RAG Storage Pool (Puchkirchen / Haag, Aigelsbrunn, Haidach 5, Nussdorf / Zagling);['GIE_SR_24'];['GIE_N_24'];47.981978;13.312084;AT;None;{'eic_code': '23X----100225-1C', 'facility_code': '21W000000000079L', 'max_cap_pipe2store_M_m3_per_d': 18.93655133304, 'max_cap_store2pipe_M_m3_per_d': 18.175733005559998, 'max_workingGas_M_m3': 17.123, 'name_short': 'Haidach'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
GIE_SR_25;UGS 7 Fields (Uniper Energy Storage) - AT;['GIE_SR_25'];['GIE_N_25'];47.962006;13.356863;AT;None;{'eic_code': '21X000000001127H', 'facility_code': '21W000000000057V', 'max_cap_pipe2store_M_m3_per_d': 22.88017346916, 'max_cap_store2pipe_M_m3_per_d': 15.255020268840001, 'max_workingGas_M_m3': 19.415, 'name_short': '7Fields'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
GIE_SR_26;UGS Loenhout;['GIE_SR_26'];['GIE_N_26'];51.386993;4.703353;BE;None;{'eic_code': '21X-BE-A-A0A0A-Y', 'facility_code': '21Z000000000102A', 'max_cap_pipe2store_M_m3_per_d': 15.980013198, 'max_cap_store2pipe_M_m3_per_d': 8.30960686296, 'max_workingGas_M_m3': 9.0013, 'name_short': 'Loenhout'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
GIE_SR_27;UGS Chiren;['GIE_SR_27'];['GIE_N_27'];43.349887;23.592123;BG;None;{'eic_code': '21X-BG-A-A0A0A-C', 'facility_code': '21W000000000031C', 'max_cap_pipe2store_M_m3_per_d': 3.4128405768000003, 'max_cap_store2pipe_M_m3_per_d': 3.2148581124000004, 'max_workingGas_M_m3': 6.27, 'name_short': 'Chiren'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
GIE_SR_28;VGS Innogy Virtual Storage (Haje, Tranovice, Stramberk, Tvrdonice, Dolni Dunajovice, Lobodice);['GIE_SR_28'];['GIE_N_28'];48.872481;16.609626;CZ;None;{'eic_code': '27XG-RWE-GAS-STI', 'facility_code': '21W000000000076R', 'max_cap_pipe2store_M_m3_per_d': 39.812388043560006, 'max_cap_store2pipe_M_m3_per_d': 29.744508342, 'max_workingGas_M_m3': 28.7146, 'name_short': 'Lobodice'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
GIE_SR_31;UGS Dolni Bojanovice;['GIE_SR_31'];['GIE_N_31'];48.871374;17.028471;CZ;None;{'eic_code': '27X-SPPSTORAGE-R', 'facility_code': '21W000000000074V', 'max_cap_pipe2store_M_m3_per_d': 9.01103045112, 'max_cap_store2pipe_M_m3_per_d': 7.00857923976, 'max_workingGas_M_m3': 6.117, 'name_short': 'DolniBojanovice'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
GIE_SR_32;UGS Jemgum H (astora);['GIE_SR_32'];['GIE_N_32'];53.253484;7.388862;DE;None;{'eic_code': '21X000000001160J', 'facility_code': '21W0000000001148', 'max_cap_pipe2store_M_m3_per_d': 10.11219006264, 'max_cap_store2pipe_M_m3_per_d': 8.552842462080001, 'max_workingGas_M_m3': 4.5413, 'name_short': 'JemgumH'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'name_short': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw'};{}
