id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_SR_0;7Fields;['INET_SR_0', 'GSE_SR_10'];['INET_N_587'];47.9867;13.232375;AT;Storage Capacity connected to Germany and Austria;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 15.2540774952, 'max_cap_store2pipe_M_m3_per_d': 22.8811162428, 'max_workingGas_M_m3': 1830.39502206, 'start_year': 2011.0};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
INET_SR_1;Aigelsbrunn;['INET_SR_1', 'GSE_SR_5'];['INET_N_587'];47.9867;13.232375;AT;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 1.2821721504, 'max_cap_store2pipe_M_m3_per_d': 1.2821721504, 'max_workingGas_M_m3': 138.58772508, 'start_year': 2011.0};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
INET_SR_2;Aldbrough1;['INET_SR_2', 'GSE_SR_211'];['INET_N_410'];53.6548;0.11978;GB;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 29.320260204, 'max_cap_store2pipe_M_m3_per_d': 32.242858488, 'max_workingGas_M_m3': 196.27604411160002, 'start_year': 2009.0};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
INET_SR_3;Aldbrough2;['INET_SR_3'];['INET_N_410'];53.6548;0.11978;GB;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 51.85255020000001, 'start_year': 2999.0};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
INET_SR_4;Alfonsine;['INET_SR_4'];['INET_N_263'];44.554176;12.264301;IT;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 2.5737720372, 'max_cap_store2pipe_M_m3_per_d': 2.5737720372, 'max_workingGas_M_m3': 154.2283397676, 'start_year': 2026.0};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
INET_SR_5;Alkmaar;['INET_SR_5', 'GSE_SR_150'];['INET_N_164'];52.487665;4.700005;NL;"Grijpskerk, Norg (NAM) and Alkmaar (TAQA) = Groningen System; No longer offering capacity, to be considered as a production facility.";{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 3.7333836144, 'max_cap_store2pipe_M_m3_per_d': 33.609880266, 'max_workingGas_M_m3': 466.8049401096, 'start_year': 1997.0};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
INET_SR_6;Allmenhausen;['INET_SR_6', 'GSE_SR_101'];['INET_N_1635'];51.006;10.49;DE;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 0.8296408032000001, 'max_cap_store2pipe_M_m3_per_d': 1.555576506, 'max_workingGas_M_m3': 64.862826432, 'start_year': 1996.0};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
INET_SR_7;Alsace Sud;['INET_SR_7'];['INET_N_644'];47.835122;7.596259;FR;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 3.2242858488, 'max_cap_store2pipe_M_m3_per_d': 10.3139436216, 'max_workingGas_M_m3': 214.95238992, 'start_year': 2022.0};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
INET_SR_8;Atwick;['INET_SR_8', 'GIE_SR_103'];['INET_N_410'];53.6548;0.11978;GB;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 12.25605732, 'max_cap_store2pipe_M_m3_per_d': 2.82832092, 'max_workingGas_M_m3': 246.441029496, 'start_year': 1983};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'start_year': 20};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'make_Attrib(const)'};{}
INET_SR_9;Bad Lauchstaedt;['INET_SR_9', 'GSE_SR_115'];['INET_N_185'];51.703309;12.251789;DE;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 46.88036202264, 'max_cap_store2pipe_M_m3_per_d': 27.891015365759998, 'max_workingGas_M_m3': 22.4289, 'start_year': 1975.0};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'start_year': 0};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'start_year': 'raw'};{}
