id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_LG_0;Alexandroupolis;['INET_LG_0'];['INET_N_28'];40.9399278;25.9940986;GR;None;{'end_year': 2050, 'max_cap_store2pipe_M_m3_per_d': 16.71232876712329, 'max_workingGas_M_m3': 110.92671200000001, 'median_cap_store2pipe_M_m3_per_d': 16.949847486371613, 'start_year': 2022.0, 'is_H_gas': 1};{'end_year': 20, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 1.137765797159719, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'Lasso', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_1;Barcelona;['INET_LG_1', 'GIE_LG_2'];['INET_N_129'];41.398;2.174;ES;None;{'end_year': 2050, 'max_cap_store2pipe_M_m3_per_d': 51.1831809156, 'max_workingGas_M_m3': 442.68952, 'median_cap_store2pipe_M_m3_per_d': 51.1831809156, 'start_year': 1969.0, 'is_H_gas': 1};{'end_year': 20, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_2;Bilbao;['INET_LG_2', 'GIE_LG_1'];['INET_N_170'];43.3612;-3.0947299999999998;ES;None;{'end_year': 2050, 'max_cap_store2pipe_M_m3_per_d': 23.4373526904, 'max_workingGas_M_m3': 262.11672, 'median_cap_store2pipe_M_m3_per_d': 20.9955689628, 'start_year': 2003.0, 'is_H_gas': 1};{'end_year': 20, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_4;Cartagena;['INET_LG_4', 'GIE_LG_3'];['INET_N_260'];37.624;-0.998;ES;None;{'end_year': 2050, 'max_cap_store2pipe_M_m3_per_d': 35.4294333912, 'max_workingGas_M_m3': 341.92032, 'median_cap_store2pipe_M_m3_per_d': 35.4294333912, 'start_year': 1989.0, 'is_H_gas': 1};{'end_year': 20, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_6;Dragon;['INET_LG_6'];['INET_N_965'];51.71;-5.03;GB;Milford Haven South Wales;{'end_year': 2050, 'max_cap_store2pipe_M_m3_per_d': 20.82191780821918, 'max_workingGas_M_m3': 208.871104, 'median_cap_store2pipe_M_m3_per_d': 20.837207792946437, 'start_year': 2009.0, 'is_H_gas': 1};{'end_year': 20, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 1.137765797159719, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'Lasso', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_7;Dunkerque;['INET_LG_7', 'GIE_LG_9'];['INET_N_407'];51.033134000000004;2.1947919999999996;FR;None;{'end_year': 2050, 'max_cap_store2pipe_M_m3_per_d': 49.005373807199994, 'max_workingGas_M_m3': 350.4, 'median_cap_store2pipe_M_m3_per_d': 49.005373807199994, 'start_year': 2016.0, 'is_H_gas': 1};{'end_year': 20, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_8;El Ferrol;['INET_LG_8', 'GIE_LG_6'];['INET_N_423'];43.489646;-8.2193451;ES;None;{'end_year': 2050, 'max_cap_store2pipe_M_m3_per_d': 10.8607523328, 'max_workingGas_M_m3': 175.2, 'median_cap_store2pipe_M_m3_per_d': 10.8607523328, 'start_year': 2007.0, 'is_H_gas': 1};{'end_year': 20, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_9;El Musel;['INET_LG_9'];['INET_N_1104'];43.399;-5.847;ES;Musel;{'end_year': 2050, 'max_cap_store2pipe_M_m3_per_d': 19.17808219178082, 'max_workingGas_M_m3': 195.744536, 'median_cap_store2pipe_M_m3_per_d': 19.282263670316507, 'start_year': 2012.0, 'is_H_gas': 1};{'end_year': 20, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 1.137765797159719, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'Lasso', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_10;Fos Cavaou;['INET_LG_10', 'GIE_LG_10'];['INET_N_502'];43.45;4.891;FR;None;{'end_year': 2050, 'max_cap_store2pipe_M_m3_per_d': 28.2832092, 'max_workingGas_M_m3': 192.72, 'median_cap_store2pipe_M_m3_per_d': 28.2832092, 'start_year': 2020.0, 'is_H_gas': 1};{'end_year': 20, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_11;Fos Tonkin;['INET_LG_11', 'GIE_LG_7'];['INET_N_502'];43.45;4.891;FR;None;{'end_year': 2050, 'max_cap_store2pipe_M_m3_per_d': 9.0411992076, 'max_workingGas_M_m3': 46.72, 'median_cap_store2pipe_M_m3_per_d': 9.0411992076, 'start_year': 1972.0, 'is_H_gas': 1};{'end_year': 20, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_12;Gate Rotterdam;['INET_LG_12', 'GIE_LG_18'];['INET_N_525'];51.973836999999996;4.064029;NL;Rotterdam;{'end_year': 2050, 'max_cap_store2pipe_M_m3_per_d': 43.461864804, 'max_workingGas_M_m3': 315.36, 'median_cap_store2pipe_M_m3_per_d': 43.461864804, 'start_year': 2018.0, 'is_H_gas': 1};{'end_year': 20, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_13;Gothenburg;['INET_LG_13'];['INET_N_548'];57.709;11.96;SE;None;{'end_year': 2050, 'max_cap_store2pipe_M_m3_per_d': 7.667711885127829, 'max_workingGas_M_m3': 21.492952000000002, 'median_cap_store2pipe_M_m3_per_d': 9.299162087068837, 'start_year': 2018.0, 'is_H_gas': 1};{'end_year': 20, 'max_cap_store2pipe_M_m3_per_d': 6.54645199761402, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 6.513975565988258, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'Lasso', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'Lasso', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_14;Huelva;['INET_LG_14', 'GIE_LG_4'];['INET_N_645'];37.2583;-6.9508;ES;None;{'end_year': 2050, 'max_cap_store2pipe_M_m3_per_d': 35.4294333912, 'max_workingGas_M_m3': 360.84776000000005, 'median_cap_store2pipe_M_m3_per_d': 35.4294333912, 'start_year': 1988.0, 'is_H_gas': 1};{'end_year': 20, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_15;Isle Of Grain;['INET_LG_15', 'GIE_LG_11'];['INET_N_688'];51.45;0.711;GB;Isle_of_Grain Kent;{'end_year': 2050, 'max_cap_store2pipe_M_m3_per_d': 60.714622416000005, 'max_workingGas_M_m3': 599.4176000000001, 'median_cap_store2pipe_M_m3_per_d': 60.714622416000005, 'start_year': 2020.0, 'is_H_gas': 1};{'end_year': 20, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_16;Klaipeda;['INET_LG_16', 'GIE_LG_17'];['INET_N_767'];55.7253;21.101954;LT;None;{'end_year': 2050, 'max_cap_store2pipe_M_m3_per_d': 11.831809182, 'max_workingGas_M_m3': 97.56888, 'median_cap_store2pipe_M_m3_per_d': 11.831809182, 'start_year': 2014.0, 'is_H_gas': 1};{'end_year': 20, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0, 'start_year': 0, 'is_H_gas': 0.5};{'end_year': 'make_Attrib(const)', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'start_year': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
