id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
NO_N_0;N_0;['NO_307674'];['NO_N_0'];65.10639924578797;6.797201226775478;NO;None;{'eic_code': None, 'elevation_m': None, 'exact': 1, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 0, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 'make_Attrib(const)', 'name_short': None};{}
NO_N_1;N_1;['NO_307674'];['NO_N_1'];59.33285970703154;5.193570754034167;NO;None;{'eic_code': None, 'elevation_m': None, 'exact': 1, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 0, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 'make_Attrib(const)', 'name_short': None};{}
NO_N_2;N_2;['NO_309000'];['NO_N_2'];60.56023487203963;2.895754899438161;NO;None;{'eic_code': None, 'elevation_m': None, 'exact': 1, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 0, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 'make_Attrib(const)', 'name_short': None};{}
NO_N_3;N_3;['NO_309000'];['NO_N_3'];60.78219442047412;2.8961421395531044;NO;None;{'eic_code': None, 'elevation_m': None, 'exact': 1, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 0, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 'make_Attrib(const)', 'name_short': None};{}
NO_N_4;N_4;['NO_310326'];['NO_N_4'];54.788771978218385;3.2983729818980376;NO;None;{'eic_code': None, 'elevation_m': None, 'exact': 1, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 0, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 'make_Attrib(const)', 'name_short': None};{}
NO_N_5;N_5;['NO_310326'];['NO_N_5'];51.34967550205439;3.22846294270364;BE;None;{'eic_code': None, 'elevation_m': None, 'exact': 1, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 0, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 'make_Attrib(const)', 'name_short': None};{}
NO_N_6;N_6;['NO_313556'];['NO_N_6'];61.185321420985844;1.8441672187165359;NO;None;{'eic_code': None, 'elevation_m': None, 'exact': 1, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 0, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 'make_Attrib(const)', 'name_short': None};{}
NO_N_7;N_8;['NO_314542'];['NO_N_7'];60.645132639754706;3.724809886770192;NO;None;{'eic_code': None, 'elevation_m': None, 'exact': 1, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 0, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 'make_Attrib(const)', 'name_short': None};{}
NO_N_8;N_9;['NO_314542'];['NO_N_8'];60.54967976590142;4.834184043027694;NO;None;{'eic_code': None, 'elevation_m': None, 'exact': 1, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 0, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 'make_Attrib(const)', 'name_short': None};{}
NO_N_9;N_12;['NO_318010'];['NO_N_9'];61.206409533924806;1.8284935777353344;NO;None;{'eic_code': None, 'elevation_m': None, 'exact': 1, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 0, 'name_short': None};{'eic_code': None, 'elevation_m': None, 'exact': 'make_Attrib(const)', 'name_short': None};{}
