id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_SR_0;7Fields;['INET_SR_0', 'GSE_SR_10'];['INET_N_587'];47.9867;13.232375;AT;Storage Capacity connected to Germany and Austria;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 15.2540774952, 'max_cap_store2pipe_M_m3_per_d': 22.8811162428, 'max_cushionGas_M_m3': 933.5107298999081, 'max_power_MW': 20.385298373268203, 'max_storage_pressure_bar': 128.92145217484375, 'max_workingGas_M_m3': 1830.39502206, 'min_storage_pressure_bar': 59.70695243731491, 'net_thickness_m': 34.599999999999994, 'num_storage_wells': 42.23478942211254, 'permeability_mD': 847.0463793917824, 'porosity_perc': 22.0, 'start_year': 2011.0, 'storage_formation': None, 'structure_depth_m': 1106.5346011501606};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_cushionGas_M_m3': 944.8679378397408, 'max_power_MW': 20.386983199415628, 'max_storage_pressure_bar': 52.27760387886304, 'max_workingGas_M_m3': 0, 'min_storage_pressure_bar': 21.614784602269022, 'net_thickness_m': 59.87916666666667, 'num_storage_wells': 35.51672678872231, 'permeability_mD': 860.7775271184038, 'porosity_perc': 4.52636815920398, 'start_year': 0, 'storage_formation': None, 'structure_depth_m': 434.2646224478598};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Lasso', 'max_power_MW': 'Lasso', 'max_storage_pressure_bar': 'Lasso', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Lasso', 'net_thickness_m': 'Median', 'num_storage_wells': 'Lasso', 'permeability_mD': 'Lasso', 'porosity_perc': 'Median', 'start_year': 'raw', 'storage_formation': None, 'structure_depth_m': 'Lasso'};{}
INET_SR_1;Aigelsbrunn;['INET_SR_1', 'GSE_SR_5'];['INET_N_587'];47.9867;13.232375;AT;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 1.2821721504, 'max_cap_store2pipe_M_m3_per_d': 1.2821721504, 'max_cushionGas_M_m3': 933.5107298999081, 'max_power_MW': 20.385298373268203, 'max_storage_pressure_bar': 128.92145217484375, 'max_workingGas_M_m3': 138.58772508, 'min_storage_pressure_bar': 59.70695243731491, 'net_thickness_m': 34.599999999999994, 'num_storage_wells': 42.23478942211254, 'permeability_mD': 847.0463793917824, 'porosity_perc': 22.0, 'start_year': 2011.0, 'storage_formation': None, 'structure_depth_m': 1106.5346011501606};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_cushionGas_M_m3': 944.8679378397408, 'max_power_MW': 20.386983199415628, 'max_storage_pressure_bar': 52.27760387886304, 'max_workingGas_M_m3': 0, 'min_storage_pressure_bar': 21.614784602269022, 'net_thickness_m': 59.87916666666667, 'num_storage_wells': 35.51672678872231, 'permeability_mD': 860.7775271184038, 'porosity_perc': 4.52636815920398, 'start_year': 0, 'storage_formation': None, 'structure_depth_m': 434.2646224478598};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Lasso', 'max_power_MW': 'Lasso', 'max_storage_pressure_bar': 'Lasso', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Lasso', 'net_thickness_m': 'Median', 'num_storage_wells': 'Lasso', 'permeability_mD': 'Lasso', 'porosity_perc': 'Median', 'start_year': 'raw', 'storage_formation': None, 'structure_depth_m': 'Lasso'};{}
INET_SR_2;Aldbrough1;['INET_SR_2', 'GSE_SR_211'];['NO_N_39'];53.65843335049228;0.11455133161561178;GB;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 29.320260204, 'max_cap_store2pipe_M_m3_per_d': 32.242858488, 'max_cushionGas_M_m3': 933.5107298999081, 'max_power_MW': 20.385298373268203, 'max_storage_pressure_bar': 128.92145217484375, 'max_workingGas_M_m3': 196.27604411160002, 'min_storage_pressure_bar': 59.70695243731491, 'net_thickness_m': 34.599999999999994, 'num_storage_wells': 42.23478942211254, 'permeability_mD': 847.0463793917824, 'porosity_perc': 22.0, 'start_year': 2009.0, 'storage_formation': None, 'structure_depth_m': 1106.5346011501606};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_cushionGas_M_m3': 944.8679378397408, 'max_power_MW': 20.386983199415628, 'max_storage_pressure_bar': 52.27760387886304, 'max_workingGas_M_m3': 0, 'min_storage_pressure_bar': 21.614784602269022, 'net_thickness_m': 59.87916666666667, 'num_storage_wells': 35.51672678872231, 'permeability_mD': 860.7775271184038, 'porosity_perc': 4.52636815920398, 'start_year': 0, 'storage_formation': None, 'structure_depth_m': 434.2646224478598};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Lasso', 'max_power_MW': 'Lasso', 'max_storage_pressure_bar': 'Lasso', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Lasso', 'net_thickness_m': 'Median', 'num_storage_wells': 'Lasso', 'permeability_mD': 'Lasso', 'porosity_perc': 'Median', 'start_year': 'raw', 'storage_formation': None, 'structure_depth_m': 'Lasso'};{}
INET_SR_3;Aldbrough2;['INET_SR_3'];['NO_N_39'];53.65843335049228;0.11455133161561178;GB;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_cushionGas_M_m3': 933.5107298999081, 'max_power_MW': 20.385298373268203, 'max_storage_pressure_bar': 128.92145217484375, 'max_workingGas_M_m3': 51.85255020000001, 'min_storage_pressure_bar': 59.70695243731491, 'net_thickness_m': 34.599999999999994, 'num_storage_wells': 42.23478942211254, 'permeability_mD': 847.0463793917824, 'porosity_perc': 22.0, 'start_year': 2050.0, 'storage_formation': None, 'structure_depth_m': 1106.5346011501606};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_cushionGas_M_m3': 944.8679378397408, 'max_power_MW': 20.386983199415628, 'max_storage_pressure_bar': 52.27760387886304, 'max_workingGas_M_m3': 0, 'min_storage_pressure_bar': 21.614784602269022, 'net_thickness_m': 59.87916666666667, 'num_storage_wells': 35.51672678872231, 'permeability_mD': 860.7775271184038, 'porosity_perc': 4.52636815920398, 'start_year': 0, 'storage_formation': None, 'structure_depth_m': 434.2646224478598};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Lasso', 'max_power_MW': 'Lasso', 'max_storage_pressure_bar': 'Lasso', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Lasso', 'net_thickness_m': 'Median', 'num_storage_wells': 'Lasso', 'permeability_mD': 'Lasso', 'porosity_perc': 'Median', 'start_year': 'raw', 'storage_formation': None, 'structure_depth_m': 'Lasso'};{}
INET_SR_4;Alfonsine;['INET_SR_4'];['INET_N_263'];44.554176;12.264301;IT;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 2.5737720372, 'max_cap_store2pipe_M_m3_per_d': 2.5737720372, 'max_cushionGas_M_m3': 933.5107298999081, 'max_power_MW': 20.385298373268203, 'max_storage_pressure_bar': 128.92145217484375, 'max_workingGas_M_m3': 154.2283397676, 'min_storage_pressure_bar': 59.70695243731491, 'net_thickness_m': 34.599999999999994, 'num_storage_wells': 42.23478942211254, 'permeability_mD': 847.0463793917824, 'porosity_perc': 22.0, 'start_year': 2026.0, 'storage_formation': None, 'structure_depth_m': 1106.5346011501606};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_cushionGas_M_m3': 944.8679378397408, 'max_power_MW': 20.386983199415628, 'max_storage_pressure_bar': 52.27760387886304, 'max_workingGas_M_m3': 0, 'min_storage_pressure_bar': 21.614784602269022, 'net_thickness_m': 59.87916666666667, 'num_storage_wells': 35.51672678872231, 'permeability_mD': 860.7775271184038, 'porosity_perc': 4.52636815920398, 'start_year': 0, 'storage_formation': None, 'structure_depth_m': 434.2646224478598};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Lasso', 'max_power_MW': 'Lasso', 'max_storage_pressure_bar': 'Lasso', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Lasso', 'net_thickness_m': 'Median', 'num_storage_wells': 'Lasso', 'permeability_mD': 'Lasso', 'porosity_perc': 'Median', 'start_year': 'raw', 'storage_formation': None, 'structure_depth_m': 'Lasso'};{}
INET_SR_5;Alkmaar;['INET_SR_5', 'IGU_SR_65'];['INET_N_164'];52.487665;4.700005;NL;"Grijpskerk, Norg (NAM) and Alkmaar (TAQA) = Groningen System; No longer offering capacity, to be considered as a production facility.";{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 3.7333836144, 'max_cap_store2pipe_M_m3_per_d': 33.609880266, 'max_cushionGas_M_m3': 3350.0, 'max_power_MW': 20.395015385533558, 'max_storage_pressure_bar': 154.6749962868217, 'max_workingGas_M_m3': 466.8049401096, 'min_storage_pressure_bar': 69.97482109666531, 'net_thickness_m': 34.599999999999994, 'num_storage_wells': 42.25385567893008, 'permeability_mD': 847.0222443482031, 'porosity_perc': 16.045005900239236, 'start_year': 1997.0, 'storage_formation': None, 'structure_depth_m': 3000.0};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_cushionGas_M_m3': 0, 'max_power_MW': 20.386983199415628, 'max_storage_pressure_bar': 52.27760387886304, 'max_workingGas_M_m3': 0, 'min_storage_pressure_bar': 21.614784602269022, 'net_thickness_m': 59.87916666666667, 'num_storage_wells': 35.51672678872231, 'permeability_mD': 860.7775271184038, 'porosity_perc': 4.160441414223944, 'start_year': 0, 'storage_formation': None, 'structure_depth_m': 0};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'raw', 'max_power_MW': 'Lasso', 'max_storage_pressure_bar': 'Lasso', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Lasso', 'net_thickness_m': 'Median', 'num_storage_wells': 'Lasso', 'permeability_mD': 'Lasso', 'porosity_perc': 'Lasso', 'start_year': 'raw', 'storage_formation': None, 'structure_depth_m': 'raw'};{}
INET_SR_6;Allmenhausen;['INET_SR_6', 'IGU_SR_7'];['INET_N_1635'];51.006;10.49;DE;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 0.8296408032000001, 'max_cap_store2pipe_M_m3_per_d': 1.555576506, 'max_cushionGas_M_m3': 236.0, 'max_power_MW': 20.382594205987697, 'max_storage_pressure_bar': 36.0, 'max_workingGas_M_m3': 64.862826432, 'min_storage_pressure_bar': 56.84948620068775, 'net_thickness_m': 34.599999999999994, 'num_storage_wells': 10, 'permeability_mD': 847.0530959825799, 'porosity_perc': 23.657227526365425, 'start_year': 1996.0, 'storage_formation': 'Trias / Bunter sandstone', 'structure_depth_m': 340.0};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_cushionGas_M_m3': 0, 'max_power_MW': 20.386983199415628, 'max_storage_pressure_bar': 0, 'max_workingGas_M_m3': 0, 'min_storage_pressure_bar': 21.614784602269022, 'net_thickness_m': 59.87916666666667, 'num_storage_wells': 0, 'permeability_mD': 860.7775271184038, 'porosity_perc': 4.160441414223944, 'start_year': 0, 'storage_formation': 0, 'structure_depth_m': 0};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'raw', 'max_power_MW': 'Lasso', 'max_storage_pressure_bar': 'raw', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Lasso', 'net_thickness_m': 'Median', 'num_storage_wells': 'raw', 'permeability_mD': 'Lasso', 'porosity_perc': 'Lasso', 'start_year': 'raw', 'storage_formation': 'raw', 'structure_depth_m': 'raw'};{}
INET_SR_7;Alsace Sud;['INET_SR_7'];['INET_N_644'];47.835122;7.596259;FR;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 3.2242858488, 'max_cap_store2pipe_M_m3_per_d': 10.3139436216, 'max_cushionGas_M_m3': 933.5107298999081, 'max_power_MW': 20.385298373268203, 'max_storage_pressure_bar': 128.92145217484375, 'max_workingGas_M_m3': 214.95238992, 'min_storage_pressure_bar': 59.70695243731491, 'net_thickness_m': 34.599999999999994, 'num_storage_wells': 42.23478942211254, 'permeability_mD': 847.0463793917824, 'porosity_perc': 22.0, 'start_year': 2022.0, 'storage_formation': None, 'structure_depth_m': 1106.5346011501606};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_cushionGas_M_m3': 944.8679378397408, 'max_power_MW': 20.386983199415628, 'max_storage_pressure_bar': 52.27760387886304, 'max_workingGas_M_m3': 0, 'min_storage_pressure_bar': 21.614784602269022, 'net_thickness_m': 59.87916666666667, 'num_storage_wells': 35.51672678872231, 'permeability_mD': 860.7775271184038, 'porosity_perc': 4.52636815920398, 'start_year': 0, 'storage_formation': None, 'structure_depth_m': 434.2646224478598};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Lasso', 'max_power_MW': 'Lasso', 'max_storage_pressure_bar': 'Lasso', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Lasso', 'net_thickness_m': 'Median', 'num_storage_wells': 'Lasso', 'permeability_mD': 'Lasso', 'porosity_perc': 'Median', 'start_year': 'raw', 'storage_formation': None, 'structure_depth_m': 'Lasso'};{}
INET_SR_8;Atwick;['INET_SR_8', 'GIE_SR_103'];['NO_N_39'];53.65843335049228;0.11455133161561178;GB;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 12.25605732, 'max_cap_store2pipe_M_m3_per_d': 2.82832092, 'max_cushionGas_M_m3': 933.5107298999081, 'max_power_MW': 20.385298373268203, 'max_storage_pressure_bar': 128.92145217484375, 'max_workingGas_M_m3': 246.441029496, 'min_storage_pressure_bar': 59.70695243731491, 'net_thickness_m': 34.599999999999994, 'num_storage_wells': 42.23478942211254, 'permeability_mD': 847.0463793917824, 'porosity_perc': 22.0, 'start_year': 1983, 'storage_formation': None, 'structure_depth_m': 1106.5346011501606};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_cushionGas_M_m3': 944.8679378397408, 'max_power_MW': 20.386983199415628, 'max_storage_pressure_bar': 52.27760387886304, 'max_workingGas_M_m3': 0, 'min_storage_pressure_bar': 21.614784602269022, 'net_thickness_m': 59.87916666666667, 'num_storage_wells': 35.51672678872231, 'permeability_mD': 860.7775271184038, 'porosity_perc': 4.52636815920398, 'start_year': 20, 'storage_formation': None, 'structure_depth_m': 434.2646224478598};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'Lasso', 'max_power_MW': 'Lasso', 'max_storage_pressure_bar': 'Lasso', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'Lasso', 'net_thickness_m': 'Median', 'num_storage_wells': 'Lasso', 'permeability_mD': 'Lasso', 'porosity_perc': 'Median', 'start_year': 'make_Attrib(const)', 'storage_formation': None, 'structure_depth_m': 'Lasso'};{}
INET_SR_9;Bad Lauchstaedt;['INET_SR_9', 'IGU_SR_92'];['INET_N_185'];51.703309;12.251789;DE;None;{'end_year': 2050, 'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 46.88036202264, 'max_cap_store2pipe_M_m3_per_d': 27.891015365759998, 'max_cushionGas_M_m3': 121.0, 'max_power_MW': 20.0, 'max_storage_pressure_bar': 150.0, 'max_workingGas_M_m3': 22.4289, 'min_storage_pressure_bar': 15.0, 'net_thickness_m': 34.599999999999994, 'num_storage_wells': 18, 'permeability_mD': 848.0033806567676, 'porosity_perc': 23.75689158304782, 'start_year': 1975.0, 'storage_formation': 'Zechstein 2', 'structure_depth_m': 820.0};{'end_year': 20, 'is_H_gas': 0.5, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_cushionGas_M_m3': 0, 'max_power_MW': 0, 'max_storage_pressure_bar': 0, 'max_workingGas_M_m3': 0, 'min_storage_pressure_bar': 0, 'net_thickness_m': 59.87916666666667, 'num_storage_wells': 0, 'permeability_mD': 860.7775271184038, 'porosity_perc': 4.359086298532764, 'start_year': 0, 'storage_formation': 0, 'structure_depth_m': 0};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_cushionGas_M_m3': 'raw', 'max_power_MW': 'raw', 'max_storage_pressure_bar': 'raw', 'max_workingGas_M_m3': 'raw', 'min_storage_pressure_bar': 'raw', 'net_thickness_m': 'Median', 'num_storage_wells': 'raw', 'permeability_mD': 'Lasso', 'porosity_perc': 'Lasso', 'start_year': 'raw', 'storage_formation': 'raw', 'structure_depth_m': 'raw'};{}
