id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_LG_0;Alexandroupolis;['INET_LG_0'];['INET_N_602'];40.9399278;25.9940986;GR;;{'max_cap_store2pipe_M_m3_per_d': 16.71232876712329, 'max_workingGas_M_m3': 110.92671200000001, 'end_year': 2050, 'start_year': 1983, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_1;Barcelona;['INET_LG_1'];['INET_N_349'];41.398;2.174;ES;;{'max_cap_store2pipe_M_m3_per_d': 46.84931506849315, 'max_workingGas_M_m3': 548.286648, 'end_year': 2050, 'start_year': 1983, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_2;Bilbao;['INET_LG_2'];['INET_N_369'];43.3612;-3.09473;ES;;{'max_cap_store2pipe_M_m3_per_d': 24.10958904109589, 'max_workingGas_M_m3': 293.68892800000003, 'end_year': 2050, 'start_year': 1983, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_4;Cartagena;['INET_LG_4'];['INET_N_324'];37.624;-0.998;ES;;{'max_cap_store2pipe_M_m3_per_d': 32.32876712328767, 'max_workingGas_M_m3': 404.32714400000003, 'end_year': 2050, 'start_year': 1983, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_6;Dragon;['INET_LG_6'];['INET_N_497'];51.71;-5.03;GB;Milford Haven South Wales;{'max_cap_store2pipe_M_m3_per_d': 20.82191780821918, 'max_workingGas_M_m3': 208.871104, 'end_year': 2050, 'start_year': 1983, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_7;Dunkerque;['INET_LG_7'];['INET_N_481'];51.033134;2.194792;FR;;{'max_cap_store2pipe_M_m3_per_d': 35.61643835616439, 'max_workingGas_M_m3': 391.63332, 'end_year': 2050, 'start_year': 1983, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_8;El Ferrol;['INET_LG_8'];['INET_N_374'];43.489646;-8.2193451;ES;;{'max_cap_store2pipe_M_m3_per_d': 9.863013698630137, 'max_workingGas_M_m3': 195.744536, 'end_year': 2050, 'start_year': 1983, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_9;El Musel;['INET_LG_9'];['INET_N_370'];43.399;-5.847;ES;Musel;{'max_cap_store2pipe_M_m3_per_d': 19.17808219178082, 'max_workingGas_M_m3': 195.744536, 'end_year': 2050, 'start_year': 1983, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_10;Fos Cavaou;['INET_LG_10'];['INET_N_400'];43.45;4.891;FR;;{'max_cap_store2pipe_M_m3_per_d': 45.205479452054796, 'max_workingGas_M_m3': 359.033272, 'end_year': 2050, 'start_year': 1983, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)'};{}
INET_LG_11;Fos Tonkin;['INET_LG_11'];['INET_N_400'];43.45;4.891;FR;;{'max_cap_store2pipe_M_m3_per_d': 9.315068493150685, 'max_workingGas_M_m3': 101.11784800000001, 'end_year': 2050, 'start_year': 1983, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'is_H_gas': 1};{'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'is_H_gas': 'make_Attrib(const)'};{}
