id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_SR_0;7Fields;['INET_SR_0'];['INET_N_17'];47.9867;13.232375;AT;Storage Capacity connected to Germany and Austria;{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 15.2540774952, 'max_cap_store2pipe_M_m3_per_d': 22.8811162428, 'max_workingGas_M_m3': 1830.39502206, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'status': 1};{'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
INET_SR_1;Aigelsbrunn;['INET_SR_1'];['INET_N_17'];47.9867;13.232375;AT;;{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 1.2821721504, 'max_cap_store2pipe_M_m3_per_d': 1.2821721504, 'max_workingGas_M_m3': 138.58772508, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'status': 1};{'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
INET_SR_2;Aldbrough1;['INET_SR_2'];['INET_N_540'];53.6548;0.11978;GB;;{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 29.320260204, 'max_cap_store2pipe_M_m3_per_d': 32.242858488, 'max_workingGas_M_m3': 196.27604411160002, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'status': 1};{'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
INET_SR_3;Aldbrough2;['INET_SR_3'];['INET_N_540'];53.6548;0.11978;GB;;{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 51.85255020000001, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'status': 1};{'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
INET_SR_4;Alfonsine;['INET_SR_4'];['INET_N_730'];44.554176;12.264301;IT;;{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 2.5737720372, 'max_cap_store2pipe_M_m3_per_d': 2.5737720372, 'max_workingGas_M_m3': 154.2283397676, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'status': 1};{'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
INET_SR_5;Alkmaar;['INET_SR_5'];['INET_N_867'];52.487665;4.700005;NL;"Grijpskerk, Norg (NAM) and Alkmaar (TAQA) = Groningen System; No longer offering capacity, to be considered as a production facility.";{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 3.7333836144, 'max_cap_store2pipe_M_m3_per_d': 33.609880266, 'max_workingGas_M_m3': 466.8049401096, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'status': 1};{'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
INET_SR_6;Allmenhausen;['INET_SR_6'];['INET_N_191'];51.006;10.49;DE;;{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 0.8296408032000001, 'max_cap_store2pipe_M_m3_per_d': 1.555576506, 'max_workingGas_M_m3': 64.862826432, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'status': 1};{'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
INET_SR_7;Alsace Sud;['INET_SR_7'];['INET_N_127'];47.835122;7.596259;FR;;{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 3.2242858488, 'max_cap_store2pipe_M_m3_per_d': 10.3139436216, 'max_workingGas_M_m3': 214.95238992, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 0, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'status': 1};{'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
INET_SR_8;Atwick;['INET_SR_8'];['INET_N_540'];53.6548;0.11978;GB;;{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 5.66892800197051, 'max_cap_store2pipe_M_m3_per_d': 8.55973933846498, 'max_workingGas_M_m3': 246.441029496, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 5.073897602131373, 'max_cap_store2pipe_M_m3_per_d': 7.295754871673807, 'max_workingGas_M_m3': 0, 'end_year': 20, 'start_year': 20, 'status': 1};{'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'Lasso', 'max_cap_store2pipe_M_m3_per_d': 'Lasso', 'max_workingGas_M_m3': 'raw', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
INET_SR_9;Bad Lauchstaedt;['INET_SR_9'];['INET_N_204'];51.703309;12.251789;DE;;{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 3.808805505599994, 'max_cap_store2pipe_M_m3_per_d': 7.405486942200009, 'max_workingGas_M_m3': 430.75207800209137, 'end_year': 2050, 'start_year': 1983, 'status': 'operational'};{'is_H_gas': 1, 'max_cap_pipe2store_M_m3_per_d': 6.200205940620783, 'max_cap_store2pipe_M_m3_per_d': 9.288707897633769, 'max_workingGas_M_m3': 420.2678951998236, 'end_year': 20, 'start_year': 20, 'status': 1};{'is_H_gas': 'make_Attrib(const)', 'max_cap_pipe2store_M_m3_per_d': 'Median', 'max_cap_store2pipe_M_m3_per_d': 'Median', 'max_workingGas_M_m3': 'Lasso', 'end_year': 'make_Attrib(const)', 'start_year': 'make_Attrib(const)', 'status': 'make_Attrib(const)'};{}
