id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_BP_0;Almeria;['INET_BP_0'];['INET_N_317'];36.7348;-2.3036;ES;;{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{}
INET_BP_1;Alveringem;['INET_BP_1'];['INET_N_45'];51.0123224;2.7095311;BE;;{'end_year': None, 'pipe_name': 'Alveringem-Maldegem pipeline', 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': 0, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': 'raw', 'source': None, 'start_year': None};{}
INET_BP_2;Arnoldstein;['INET_BP_2'];['INET_N_6'];46.5499903;13.7057619;AT;;{'end_year': None, 'pipe_name': 'medgaz', 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': 0, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': 'raw', 'source': None, 'start_year': None};{}
INET_BP_3;Backi Breg;['INET_BP_3'];['INET_N_984'];45.9166015;18.9673241;RS;;{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{}
INET_BP_4;Badajoz;['INET_BP_4'];['INET_N_334'];38.87665;-6.9714;ES;;{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{}
INET_BP_5;Balassagyarmat;['INET_BP_5'];['INET_N_1071'];48.0711866;19.2937136;UA;;{'end_year': None, 'pipe_name': 'Slovak-Hungarian Gas Interconnector', 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': 0, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': 'raw', 'source': None, 'start_year': None};{}
INET_BP_6;Balgzand;['INET_BP_6'];['INET_N_877'];52.8982381;4.845275;NL;;{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{}
INET_BP_7;Ballylumford;['INET_BP_7'];['INET_N_559'];54.84019;-5.788932;GB;;{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{}
INET_BP_8;Basel;['INET_BP_8'];['INET_N_92'];47.5595986;7.5885761;CH;;{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': None, 'source': None, 'start_year': None};{}
INET_BP_9;Baumgarten;['INET_BP_9'];['INET_N_24'];48.316295;16.875328;AT;;{'end_year': None, 'pipe_name': 'WAG', 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': 0, 'source': None, 'start_year': None};{'end_year': None, 'pipe_name': 'raw', 'source': None, 'start_year': None};{}
