id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_LG_0;Alexandroupolis;['INET_LG_0'];['INET_N_602'];40.9399278;25.9940986;GR;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 16.71232876712329, 'max_workingGas_M_m3': 110.92671200000001, 'source': 'http://www.gastrade.gr/en/the-company/the-project.aspx', 'start_year': 2022.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_1;Barcelona;['INET_LG_1'];['INET_N_349'];41.398;2.174;ES;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 46.84931506849315, 'max_workingGas_M_m3': 548.286648, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 1969.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_2;Bilbao;['INET_LG_2'];['INET_N_369'];43.3612;-3.09473;ES;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 24.10958904109589, 'max_workingGas_M_m3': 293.68892800000003, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2003.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_3;Brunnsviksholme;['INET_LG_3'];['INET_N_1032'];58.922139;17.976153;SE;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 1.36986301369863, 'max_workingGas_M_m3': 12.982320000000001, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2011.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_4;Cartagena;['INET_LG_4'];['INET_N_324'];37.624;-0.998;ES;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 32.32876712328767, 'max_workingGas_M_m3': 404.32714400000003, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 1989.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_5;Delimara;['INET_LG_5'];['INET_N_818'];35.828836;14.556524;MT;Malta;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 1.643835616438356, 'max_workingGas_M_m3': 81.644368, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf + https://www.sourcewatch.org/index.php/Delimara_Malta_LNG_Terminal', 'start_year': 2017.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_6;Dragon;['INET_LG_6'];['INET_N_496'];51.705887;-4.988372;GB;Milford Haven South Wales;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 20.82191780821918, 'max_workingGas_M_m3': 208.871104, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2009.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_7;Dunkerque;['INET_LG_7'];['INET_N_481'];51.033134;2.194792;FR;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 35.61643835616439, 'max_workingGas_M_m3': 391.63332, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2016.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_8;El Ferrol;['INET_LG_8'];['INET_N_374'];43.489646;-8.2193451;ES;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 9.863013698630137, 'max_workingGas_M_m3': 195.744536, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2007.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_9;El Musel;['INET_LG_9'];['INET_N_375'];43.534;-5.664;ES;Musel;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 19.17808219178082, 'max_workingGas_M_m3': 195.744536, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2012.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_10;Fos Cavaou;['INET_LG_10'];['INET_N_397'];43.42239;4.89863;FR;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 45.205479452054796, 'max_workingGas_M_m3': 359.033272, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2020.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_11;Fos Tonkin;['INET_LG_11'];['INET_N_401'];43.454;4.85167;FR;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 9.315068493150685, 'max_workingGas_M_m3': 101.11784800000001, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 1972.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_12;Gate Rotterdam;['INET_LG_12'];['INET_N_857'];51.973837;4.064029;NL;Rotterdam;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 43.83561643835616, 'max_workingGas_M_m3': 469.959984, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2018.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_13;Gothenburg;['INET_LG_13'];['INET_N_1028'];57.70887;11.97456;SE;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': None, 'max_workingGas_M_m3': 21.492952000000002, 'source': 'https://www.hydrocarbons-technology.com/projects/swedegas-lng-facility-port-gothenburg/', 'start_year': 2018.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': None, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': None, 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_14;Huelva;['INET_LG_14'];['INET_N_322'];37.2615;-6.9422;ES;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 32.32876712328767, 'max_workingGas_M_m3': 404.32714400000003, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 1988.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_15;Isle Of Grain;['INET_LG_15'];['INET_N_491'];51.45;0.711;GB;Isle_of_Grain Kent;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 75.34246575342466, 'max_workingGas_M_m3': 652.7222, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2020.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_16;Klaipeda;['INET_LG_16'];['INET_N_796'];55.7253;21.101954;LT;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 10.95890410958904, 'max_workingGas_M_m3': 110.92671200000001, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2014.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_17;Montoir De Bretagne;['INET_LG_17'];['INET_N_436'];47.32;-2.14;FR;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 27.397260273972602, 'max_workingGas_M_m3': 234.979992, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 1980.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_18;Tallinn;['INET_LG_18'];['INET_N_313'];59.40601;25.0045;EE;Tallinn;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 10.95890410958904, 'max_workingGas_M_m3': 2.596464, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf + https://news.err.ee/610905/vopak-to-build-initially-4-000-cubic-meter-lng-terminal-at-muuga', 'start_year': 2019.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_19;Nynashamm;['INET_LG_19'];['INET_N_1031'];58.902926;17.9465288;SE;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': None, 'max_workingGas_M_m3': 12.982320000000001, 'source': 'https://www.gasinfocus.com/en/indicator/existing-and-planned-lng-terminals/ +https://nauticor.de/lng-terminal-nynaeshamn', 'start_year': 2011.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': None, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': None, 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_20;Paldiski;['INET_LG_20'];['INET_N_312'];59.38445;24.07494;EE;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 6.8493150684931505, 'max_workingGas_M_m3': 104.435552, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf + https://www.lngworldnews.com/tallinna-sadam-alexela-to-work-on-paldiski-lng-terminal/', 'start_year': 2020.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_21;Panigaglia;['INET_LG_21'];['INET_N_721'];44.073876;9.830632;IT;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 9.58904109589041, 'max_workingGas_M_m3': 65.200096, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 1971.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_22;Pori;['INET_LG_22'];['INET_N_388'];61.63817;21.39881;FI;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': None, 'max_workingGas_M_m3': 18.607992000000003, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': None};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': None, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': None};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': None, 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': None};{}
INET_LG_23;Porto Levante;['INET_LG_23'];['INET_N_739'];45.0488357;12.3639697;IT;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 21.91780821917808, 'max_workingGas_M_m3': 163.14448800000002, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2009.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_24;Revithoussa;['INET_LG_24'];['INET_N_583'];37.96;23.4023;GR;Greece;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 22.602739726027398, 'max_workingGas_M_m3': 146.84446400000002, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2000.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_25;Riga;['INET_LG_25'];['INET_N_809'];56.84888;24.306389;LV;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 13.698630136986301, 'max_workingGas_M_m3': None, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2019.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': None, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': None, 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_26;Sagunto;['INET_LG_26'];['INET_N_340'];39.6329;-0.2152;ES;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 24.10958904109589, 'max_workingGas_M_m3': 391.63332, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2006.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_27;Sines;['INET_LG_27'];['INET_N_944'];37.9419;-8.8435;PT;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 20.82191780821918, 'max_workingGas_M_m3': 254.59772, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2003.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_28;South Hook;['INET_LG_28'];['INET_N_498'];51.713781;-5.078012;GB;Milford HavenSouth Wales;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 57.534246575342465, 'max_workingGas_M_m3': 505.877736, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2009.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
INET_LG_29;Swinoujscie;['INET_LG_29'];['INET_N_937'];53.909167;14.294722;PL;;{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 20.54794520547945, 'max_workingGas_M_m3': 313.30665600000003, 'source': 'https://globallnghub.com/wp-content/uploads/2018/09/King.pdf', 'start_year': 2020.0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 0, 'max_workingGas_M_m3': 0, 'source': 0, 'start_year': 0};{'end_year': None, 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'source': 'raw', 'start_year': 'raw'};{}
