id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_N_0;Hassi R Mel;['INET_N_0'];['INET_N_0'];32.9349916;3.2684215;AG;;{'exact': 2, 'elevation_m': 763};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_1;Kouchdiet;['INET_N_1'];['INET_N_1'];36.936721;8.642711;AG;;{'exact': 2, 'elevation_m': 96};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_2;Bilisht Qendr;['INET_N_2'];['INET_N_2'];40.581944;21.000003;AL;;{'exact': 1, 'elevation_m': 921};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_3;Topoje;['INET_N_3'];['INET_N_3'];40.7918;19.4504;AL;;{'exact': 2, 'elevation_m': 1};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_6;Arnoldstein;['INET_N_6'];['INET_N_6'];46.5499903;13.7057619;AT;Schiebestation;{'exact': 2, 'elevation_m': 630};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_7;Ruden;['INET_N_7'];['INET_N_7'];46.674191;14.756849;AT;;{'exact': 1, 'elevation_m': 478};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_8;Murfeld;['INET_N_8'];['INET_N_8'];46.71;15.67;AT;;{'exact': 2, 'elevation_m': 304};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_9;Weitendorf;['INET_N_9'];['INET_N_9'];46.8798;15.472946;AT;TAG-Weitendorf;{'exact': 1, 'elevation_m': 294};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_12;Grafendorf;['INET_N_12'];['INET_N_12'];47.3404037;15.9911036;AT;bei Hartberg;{'exact': 2, 'elevation_m': 415};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_13;Eggendorf;['INET_N_13'];['INET_N_13'];47.874784;16.324289;AT;;{'exact': 1, 'elevation_m': 243};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_14;7Fields;['INET_N_14'];['INET_N_14'];47.962006;13.356863;AT;Storage Capacity connected to Germany and Austria;{'exact': 1, 'elevation_m': 604};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_15;Nussdorf Zagling;['INET_N_15'];['INET_N_15'];47.962013;13.356362;AT;;{'exact': 1, 'elevation_m': 604};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_16;Aigelsbrunn;['INET_N_16'];['INET_N_16'];47.981978;13.312084;AT;;{'exact': 1, 'elevation_m': 612};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_17;Haidach;['INET_N_17'];['INET_N_17'];47.9867;13.232375;AT;Storage Capacity solely connected to Germany;{'exact': 1, 'elevation_m': 596};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_18;Deutsch Jahndorf;['INET_N_18'];['INET_N_18'];48.01;17.107;AT;Deutsch Jahndorf;{'exact': 2, 'elevation_m': 129};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_19;Puchkirchen;['INET_N_19'];['INET_N_19'];48.015746;13.572981;AT;Puchkirchen/Haag GCV 11,31;{'exact': 1, 'elevation_m': 508};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_20;Kittsee;['INET_N_20'];['INET_N_20'];48.09;17.068;AT;;{'exact': 2, 'elevation_m': 132};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_21;Thann;['INET_N_21'];['INET_N_21'];48.161;14.427;AT;OberAT;{'exact': 4, 'elevation_m': 283};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_22;Ueberackern;['INET_N_22'];['INET_N_22'];48.1928972;12.8747485;AT;;{'exact': 3, 'elevation_m': 403};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_23;Ried;['INET_N_23'];['INET_N_23'];48.21;13.48;AT;;{'exact': 5, 'elevation_m': 471};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_24;Baumgarten;['INET_N_24'];['INET_N_24'];48.316295;16.875328;AT;Baumgarten an der March;{'exact': 1, 'elevation_m': 145};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_25;Tallesbrunn;['INET_N_25'];['INET_N_25'];48.355222;16.778209;AT;;{'exact': 1, 'elevation_m': 151};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_26;Andorf;['INET_N_26'];['INET_N_26'];48.3597;13.575;AT;;{'exact': 4, 'elevation_m': 373};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_27;Enzersfeld;['INET_N_27'];['INET_N_27'];48.36;16.42;AT;;{'exact': 2, 'elevation_m': 222};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_28;Schoenkirchen Reyersdorf;['INET_N_28'];['INET_N_28'];48.376237;16.69966;AT;;{'exact': 1, 'elevation_m': 186};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_29;Kirchberg;['INET_N_29'];['INET_N_29'];48.4319861;15.8974939;AT;Wagram;{'exact': 2, 'elevation_m': 209};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_30;Lichtenau;['INET_N_30'];['INET_N_30'];48.502;15.379;AT;;{'exact': 2, 'elevation_m': 664};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_31;Bad Leonfelden;['INET_N_31'];['INET_N_31'];48.521;14.292;AT;Bad Leonfelden;{'exact': 2, 'elevation_m': 796};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_32;Rainbach;['INET_N_32'];['INET_N_32'];48.541365;14.489137;AT;im Muhlkreis;{'exact': 1, 'elevation_m': 649};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_33;Oberkappel;['INET_N_33'];['INET_N_33'];48.55443;13.751863;AT;Neustift;{'exact': 1, 'elevation_m': 530};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_35;Trzac;['INET_N_35'];['INET_N_35'];44.9976747;15.7846558;BA;;{'exact': 3, 'elevation_m': 329};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_36;Sarajevo;['INET_N_36'];['INET_N_36'];43.855;18.407;BA ;;{'exact': 5, 'elevation_m': 827};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_38;Mons;['INET_N_38'];['INET_N_38'];50.44787;3.97037;BE;;{'exact': 2, 'elevation_m': 53};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_39;Warnand;['INET_N_39'];['INET_N_39'];50.592;5.227;BE;;{'exact': 3, 'elevation_m': 170};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_40;Raeren;['INET_N_40'];['INET_N_40'];50.6770198;6.1097331;BE;;{'exact': 3, 'elevation_m': 315};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_41;Eynatten;['INET_N_41'];['INET_N_41'];50.7;6.09;BE;;{'exact': 2, 'elevation_m': 303};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_42;Berneau;['INET_N_42'];['INET_N_42'];50.753777;5.739351;BE;;{'exact': 1, 'elevation_m': 122};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_43;Gravenvoeren;['INET_N_43'];['INET_N_43'];50.7587829;5.7611628;BE;;{'exact': 3, 'elevation_m': 143};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_44;Winksele;['INET_N_44'];['INET_N_44'];50.8974666;4.6435179;BE;;{'exact': 2, 'elevation_m': 34};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_45;Alveringem;['INET_N_45'];['INET_N_45'];51.0123224;2.7095311;BE;;{'exact': 3, 'elevation_m': 4};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_46;Dilsen;['INET_N_46'];['INET_N_46'];51.03747;5.72215;BE;;{'exact': 3, 'elevation_m': 37};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_47;Zelzate;['INET_N_47'];['INET_N_47'];51.191166;3.827686;BE;;{'exact': 1, 'elevation_m': 4};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_48;Maldegem;['INET_N_48'];['INET_N_48'];51.192;3.46;BE;;{'exact': 2, 'elevation_m': 5};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_49;Weeide;['INET_N_49'];['INET_N_49'];51.3022166;4.4114244;BE;;{'exact': 2, 'elevation_m': 3};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_50;Zeebrugge;['INET_N_50'];['INET_N_50'];51.323;3.213;BE;;{'exact': 2, 'elevation_m': 0};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_51;Loenhout;['INET_N_51'];['INET_N_51'];51.386993;4.703353;BE;;{'exact': 1, 'elevation_m': 16};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_53;Poppel;['INET_N_53'];['INET_N_53'];51.447;5.043;BE;;{'exact': 5, 'elevation_m': 23};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_54;Nesvish;['INET_N_54'];['INET_N_54'];53.2247;26.6765;BE;;{'exact': 3, 'elevation_m': 185};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_55;Kulata;['INET_N_55'];['INET_N_55'];41.3875814;23.3632506;BG;;{'exact': 3, 'elevation_m': 175};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_56;Petrich;['INET_N_56'];['INET_N_56'];41.5581081;23.2066849;BG;;{'exact': 5, 'elevation_m': 350};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_57;Kardzahli;['INET_N_57'];['INET_N_57'];41.638;25.375;BG;;{'exact': 5, 'elevation_m': 272};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_58;Haskovo;['INET_N_58'];['INET_N_58'];41.9367;25.558;BG;;{'exact': 5, 'elevation_m': 203};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_59;Dimitrovgrad;['INET_N_59'];['INET_N_59'];42.05521;25.59;BG;;{'exact': 5, 'elevation_m': 129};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_60;Strandja;['INET_N_60'];['INET_N_60'];42.1825;27.008611;BG;;{'exact': 5, 'elevation_m': 307};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_62;Plovdiv;['INET_N_62'];['INET_N_62'];42.25;24.75;BG;;{'exact': 5, 'elevation_m': 183};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_63;Dubnitza;['INET_N_63'];['INET_N_63'];42.2658;23.11;BG;;{'exact': 5, 'elevation_m': 590};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_64;Kyustendil;['INET_N_64'];['INET_N_64'];42.2868817;22.6939308;BG;;{'exact': 3, 'elevation_m': 566};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_65;Stara Zagora;['INET_N_65'];['INET_N_65'];42.435;25.638;BG;;{'exact': 5, 'elevation_m': 294};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_66;Ihtiman;['INET_N_66'];['INET_N_66'];42.4382418;23.8161718;BG;;{'exact': 2, 'elevation_m': 695};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_67;Lozenets;['INET_N_67'];['INET_N_67'];42.6582646;26.8066174;BG;;{'exact': 5, 'elevation_m': 260};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_69;Provadiya;['INET_N_69'];['INET_N_69'];43.177032;27.4405725;BG;;{'exact': 2, 'elevation_m': 159};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_70;Galata;['INET_N_70'];['INET_N_70'];43.186113;28.205624;BG;;{'exact': 2, 'elevation_m': 0};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_71;Polski Senovets;['INET_N_71'];['INET_N_71'];43.256944;25.3000001;BG;;{'exact': 2, 'elevation_m': 165};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_72;Chiren;['INET_N_72'];['INET_N_72'];43.349887;23.592123;BG;;{'exact': 1, 'elevation_m': 273};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_73;Valchi Dol;['INET_N_73'];['INET_N_73'];43.4055329;27.5511887;BG;;{'exact': 2, 'elevation_m': 290};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_75;Kardam;['INET_N_75'];['INET_N_75'];43.7538009;28.1079003;BG;;{'exact': 2, 'elevation_m': 186};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_76;Ruse;['INET_N_76'];['INET_N_76'];43.837942;25.968029;BG;;{'exact': 5, 'elevation_m': 55};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_79;Pribugskoye;['INET_N_79'];['INET_N_79'];52.144;23.848;BY;;{'exact': 5, 'elevation_m': 141};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_80;Kobrin;['INET_N_80'];['INET_N_80'];52.2141109;24.3581792;BY;;{'exact': 2, 'elevation_m': 140};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_81;Wysokoje;['INET_N_81'];['INET_N_81'];52.3696;23.371;BY;;{'exact': 3, 'elevation_m': 156};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_82;Mozyrskoye;['INET_N_82'];['INET_N_82'];52.519;31.01;BY;;{'exact': 5, 'elevation_m': 129};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_83;Ivasevichi;['INET_N_83'];['INET_N_83'];52.7079632;25.3353752;BY;;{'exact': 2, 'elevation_m': 153};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_84;Slonim;['INET_N_84'];['INET_N_84'];53.0875127;25.3087192;BY;;{'exact': 2, 'elevation_m': 151};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_85;Nesvizh;['INET_N_85'];['INET_N_85'];53.2226038;26.6766138;BY;;{'exact': 2, 'elevation_m': 186};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_86;Osipovichskoye;['INET_N_86'];['INET_N_86'];53.373;28.517;BY;;{'exact': 5, 'elevation_m': 163};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_87;Minskaya;['INET_N_87'];['INET_N_87'];54.126352;27.995055;BY;;{'exact': 3, 'elevation_m': 184};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_88;Krupki;['INET_N_88'];['INET_N_88'];54.3269605;29.1426031;BY;;{'exact': 2, 'elevation_m': 180};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_89;Orshan;['INET_N_89'];['INET_N_89'];54.5071478;30.4119546;BY;Orsha;{'exact': 2, 'elevation_m': 184};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_90;Ruswil;['INET_N_90'];['INET_N_90'];47.079;8.133;CH;Ruswil;{'exact': 2, 'elevation_m': 645};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
INET_N_91;Lostorf;['INET_N_91'];['INET_N_91'];47.386;7.946;CH;Lostorf (SO);{'exact': 2, 'elevation_m': 661};{'exact': 0, 'elevation_m': 'unknown'};{'exact': 'raw', 'elevation_m': 'bing API'};{}
