id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
LKD_CO_0;Haiming 2-RAGES/bn;['LKD_N_809032'];['LKD_N_12'];48.21915679567742;12.78878209417577;DE;None;{'entsog_key': 'ITP-00308', 'license': 'open data', 'num_turb': 2.0, 'operator_name': 'bayernets'};{'entsog_key': 0, 'license': 0, 'num_turb': 0, 'operator_name': 0};{'entsog_key': 'raw', 'license': 'raw', 'num_turb': 'raw', 'operator_name': 'raw'};{}
LKD_CO_1;Radeland;['LKD_N_812200'];['LKD_N_32'];52.09349905015139;13.587282157390655;DE;None;{'entsog_key': None, 'license': 'open data', 'num_turb': 3.0, 'operator_name': 'OPAL'};{'entsog_key': None, 'license': 0, 'num_turb': 0, 'operator_name': 0};{'entsog_key': None, 'license': 'raw', 'num_turb': 'raw', 'operator_name': 'raw'};{}
LKD_CO_2;Mallnow;['LKD_N_812201'];['LKD_N_34'];52.54146169126879;14.31805195819919;DE;None;{'entsog_key': 'ITP-00096', 'license': 'open data', 'num_turb': 4.0, 'operator_name': 'JAGAL GASCADE'};{'entsog_key': 0, 'license': 0, 'num_turb': 0, 'operator_name': 0};{'entsog_key': 'raw', 'license': 'raw', 'num_turb': 'raw', 'operator_name': 'raw'};{}
LKD_CO_3;Rueckersdorf;['LKD_N_816020'];['LKD_N_35'];50.7820747876035;12.214034690779144;DE;None;{'entsog_key': None, 'license': 'open data', 'num_turb': 3.0, 'operator_name': 'JAGAL STEGAL GASCADE'};{'entsog_key': None, 'license': 0, 'num_turb': 0, 'operator_name': 0};{'entsog_key': None, 'license': 'raw', 'num_turb': 'raw', 'operator_name': 'raw'};{}
LKD_CO_4;Olbernhau;['LKD_N_814219'];['LKD_N_36'];50.678803200903324;13.297239816310503;DE;None;{'entsog_key': None, 'license': 'open data', 'num_turb': 3.0, 'operator_name': 'STEGAL GASCADE'};{'entsog_key': None, 'license': 0, 'num_turb': 0, 'operator_name': 0};{'entsog_key': None, 'license': 'raw', 'num_turb': 'raw', 'operator_name': 'raw'};{}
LKD_CO_5;Eischleben;['LKD_N_816021'];['LKD_N_37'];50.872017405452425;11.075455959602834;DE;None;{'entsog_key': None, 'license': 'open data', 'num_turb': 3.0, 'operator_name': 'STEGAL GASCADE'};{'entsog_key': None, 'license': 0, 'num_turb': 0, 'operator_name': 0};{'entsog_key': None, 'license': 'raw', 'num_turb': 'raw', 'operator_name': 'raw'};{}
LKD_CO_6;Reckrod;['LKD_N_806001'];['LKD_N_38'];50.68474780129773;9.656208132409002;DE;None;{'entsog_key': 'ITP-00198', 'license': 'open data', 'num_turb': 5.0, 'operator_name': 'STEGAL MIDAL GASCADE'};{'entsog_key': 0, 'license': 0, 'num_turb': 0, 'operator_name': 0};{'entsog_key': 'raw', 'license': 'raw', 'num_turb': 'raw', 'operator_name': 'raw'};{}
LKD_CO_7;Lippe;['LKD_N_805003'];['LKD_N_49'];51.921375832676524;8.663706939190082;DE;None;{'entsog_key': None, 'license': 'open data', 'num_turb': 3.0, 'operator_name': 'MIDAL GASCADE'};{'entsog_key': None, 'license': 0, 'num_turb': 0, 'operator_name': 0};{'entsog_key': None, 'license': 'raw', 'num_turb': 'raw', 'operator_name': 'raw'};{}
LKD_CO_8;Rehden;['LKD_N_803004'];['LKD_N_51'];52.5517987869226;8.347535098990326;DE;None;{'entsog_key': 'UGS-00087', 'license': 'open data', 'num_turb': 2.0, 'operator_name': 'MIDAL NEL  RHG GASCADE'};{'entsog_key': 0, 'license': 0, 'num_turb': 0, 'operator_name': 0};{'entsog_key': 'raw', 'license': 'raw', 'num_turb': 'raw', 'operator_name': 'raw'};{}
LKD_CO_9;Bunder-Tief;['LKD_N_803012'];['LKD_N_55'];53.18327612885241;7.230313945642903;DE;None;{'entsog_key': 'ITP-00199', 'license': 'open data', 'num_turb': 2.0, 'operator_name': 'MIDAL GASCADE'};{'entsog_key': 0, 'license': 0, 'num_turb': 0, 'operator_name': 0};{'entsog_key': 'raw', 'license': 'raw', 'num_turb': 'raw', 'operator_name': 'raw'};{}
LKD_CO_10;Weisweiler;['LKD_N_805022'];['LKD_N_58'];50.85304060359307;6.777765856644877;DE;None;{'entsog_key': None, 'license': 'open data', 'num_turb': 3.0, 'operator_name': 'WEDAL GASCADE'};{'entsog_key': None, 'license': 0, 'num_turb': 0, 'operator_name': 0};{'entsog_key': None, 'license': 'raw', 'num_turb': 'raw', 'operator_name': 'raw'};{}
LKD_CO_11;Ort_LKD_N_814126;['LKD_N_814126'];['LKD_N_457'];50.7132578942927;13.406074212518723;DE;None;{'entsog_key': None, 'license': 'open data', 'num_turb': 3.0, 'operator_name': 'ONTRAS'};{'entsog_key': None, 'license': 0, 'num_turb': 0, 'operator_name': 0};{'entsog_key': None, 'license': 'raw', 'num_turb': 'raw', 'operator_name': 'raw'};{}
LKD_CO_12;Ort_LKD_N_815007;['LKD_N_815007'];['LKD_N_520'];51.71159321151147;12.218489752145178;DE;None;{'entsog_key': None, 'license': 'open data', 'num_turb': 2.0, 'operator_name': 'ONTRAS'};{'entsog_key': None, 'license': 0, 'num_turb': 0, 'operator_name': 0};{'entsog_key': None, 'license': 'raw', 'num_turb': 'raw', 'operator_name': 'raw'};{}
