id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
LKD_PS_0;PS_2;['LKD_2'];['LKD_N_840', 'LKD_N_842'];[51.600642043953656, 51.36574797532847];[6.428326836195894, 6.514310417686442];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 26.797469135468447, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.483195009641065, 'long_mean': 6.4713186269411676};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.11744703431259396, 'long_mean': 0.04299179074527393};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_1;PS_3;['LKD_3'];['LKD_N_840', 'LKD_N_843'];[51.600642043953656, 51.54881904357913];[6.428326836195894, 6.812494016214228];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 27.17528125696955, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.57473054376639, 'long_mean': 6.620410426205061};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.02591150018726296, 'long_mean': 0.19208359000916708};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_2;PS_5;['LKD_5'];['LKD_N_842', 'LKD_N_862'];[51.36574797532847, 51.31807840409071];[6.514310417686442, 6.284121232597186];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 16.850012298588613, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.34191318970959, 'long_mean': 6.399215825141814};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.02383478561887742, 'long_mean': 0.11509459254462805};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_3;PS_7;['LKD_7'];['LKD_N_842', 'LKD_N_841'];[51.36574797532847, 51.29479716957135];[6.514310417686442, 6.623960609069971];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 10.97067348353492, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.330272572449914, 'long_mean': 6.569135513378207};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.035475402878557105, 'long_mean': 0.0548250956917644};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_4;PS_9;['LKD_9'];['LKD_N_841', 'LKD_N_833'];[51.29479716957135, 51.25472020380113];[6.623960609069971, 6.543607262541104];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 7.150815636052652, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.27475868668624, 'long_mean': 6.5837839358055374};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.020038482885112785, 'long_mean': 0.040176673264433305};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_5;PS_10;['LKD_10'];['LKD_N_833', 'LKD_N_860'];[51.25472020380113, 51.248120833446094];[6.543607262541104, 6.449576957985789];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 6.587341566243789, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.25142051862361, 'long_mean': 6.496592110263446};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.0032996851775166647, 'long_mean': 0.047015152277657624};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_6;PS_11;['LKD_11'];['LKD_N_833', 'LKD_N_850'];[51.25472020380113, 51.02578025262141];[6.543607262541104, 6.972736322708712];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 39.31062597466473, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.14025022821127, 'long_mean': 6.758171792624908};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.11446997558985926, 'long_mean': 0.2145645300838037};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_7;PS_12;['LKD_12'];['LKD_N_841', 'LKD_N_848'];[51.29479716957135, 51.181397993043966];[6.623960609069971, 6.898994271812236];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 22.93338449286018, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.238097581307656, 'long_mean': 6.761477440441103};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.05669958826369381, 'long_mean': 0.13751683137113255};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_8;PS_14;['LKD_14'];['LKD_N_843', 'LKD_N_859'];[51.54881904357913, 51.43223458934887];[6.812494016214228, 6.626949289414326];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 18.256164763314544, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.490526816464, 'long_mean': 6.719721652814277};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.05829222711512827, 'long_mean': 0.0927723633999511};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_9;PS_15;['LKD_15'];['LKD_N_841', 'LKD_N_859'];[51.29479716957135, 51.43223458934887];[6.623960609069971, 6.626949289414326];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 15.288550304055299, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.36351587946011, 'long_mean': 6.625454949242148};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.06871870988875982, 'long_mean': 0.001494340172177644};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_10;PS_17;['LKD_17'];['LKD_N_843', 'LKD_N_844'];[51.54881904357913, 51.69279334445699];[6.812494016214228, 7.000274984142983];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 20.606332149966462, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.62080619401806, 'long_mean': 6.906384500178605};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.07198715043892889, 'long_mean': 0.09389048396437749};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_11;PS_18;['LKD_18'];['LKD_N_843', 'LKD_N_830'];[51.54881904357913, 51.477669834931504];[6.812494016214228, 6.951520786885571];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 12.459773873167347, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.51324443925532, 'long_mean': 6.8820074015499};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.03557460432381276, 'long_mean': 0.06951338533567152};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_12;PS_20;['LKD_20'];['LKD_N_844', 'LKD_N_864'];[51.69279334445699, 51.729334762612275];[7.000274984142983, 6.96311476246033];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 4.804109746137911, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.71106405353463, 'long_mean': 6.981694873301656};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.018270709077643943, 'long_mean': 0.01858011084132682};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_13;PS_21;['LKD_21'];['LKD_N_844', 'LKD_N_847'];[51.69279334445699, 51.556253812943154];[7.000274984142983, 7.311879104782008];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 26.337027200258785, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.62452357870007, 'long_mean': 7.156077044462496};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.06826976575691646, 'long_mean': 0.1558020603195125};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_14;PS_22;['LKD_22'];['LKD_N_844', 'LKD_N_836'];[51.69279334445699, 51.9438993984023];[7.000274984142983, 7.014060237655141];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 27.946562493995312, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.81834637142964, 'long_mean': 7.007167610899062};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.12555302697265702, 'long_mean': 0.0068926267560787124};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_15;PS_23;['LKD_23'];['LKD_N_830', 'LKD_N_844'];[51.477669834931504, 51.69279334445699];[6.951520786885571, 7.000274984142983];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 24.16423230533869, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.585231589694246, 'long_mean': 6.975897885514277};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.10756175476274166, 'long_mean': 0.024377098628705962};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_16;PS_24;['LKD_24'];['LKD_N_830', 'LKD_N_827'];[51.477669834931504, 51.459919914055604];[6.951520786885571, 6.837923692564928];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 8.114930473508748, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.468794874493554, 'long_mean': 6.894722239725249};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.008874960437950106, 'long_mean': 0.056798547160321615};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_17;PS_25;['LKD_25'];['LKD_N_827', 'LKD_N_859'];[51.459919914055604, 51.43223458934887];[6.837923692564928, 6.626949289414326];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 14.94627669294064, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.446077251702235, 'long_mean': 6.7324364909896275};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.013842662353365398, 'long_mean': 0.105487201575301};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_18;PS_26;['LKD_26'];['LKD_N_827', 'LKD_N_826'];[51.459919914055604, 51.392262499839624];[6.837923692564928, 6.795709728560038];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 8.074965345965397, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.42609120694762, 'long_mean': 6.816816710562483};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.033828707107989686, 'long_mean': 0.021106982002445204};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
LKD_PS_19;PS_27;['LKD_27'];['LKD_N_826', 'LKD_N_848'];[51.392262499839624, 51.181397993043966];[6.795709728560038, 6.898994271812236];['DE', 'DE'];None;{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 24.53027936082558, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'OpenGridEurope', 'pipe_class_LKD': None, 'lat_mean': 51.286830246441795, 'long_mean': 6.847352000186136};{'diameter_mm': None, 'is_H_gas': 0, 'length_km': 0, 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 0, 'pipe_class_LKD': None, 'lat_mean': 0.10543225339782934, 'long_mean': 0.05164227162609913};{'diameter_mm': None, 'is_H_gas': 'raw', 'length_km': 'raw', 'max_cap_M_m3_per_d': None, 'max_pressure_bar': None, 'operator_name': 'raw', 'pipe_class_LKD': None, 'lat_mean': 'make_Attrib(latlong_mean)', 'long_mean': 'make_Attrib(latlong_mean)'};{}
