id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
NO_N_0;N_282613;['NO_0'];['NO_N_0'];65.10640013242656;6.797264624118895;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_1;N_286169;['NO_1'];['NO_N_1'];59.332862188736044;5.193623243315089;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_2;N_277321;['NO_2'];['NO_N_2'];60.56035586908638;2.895158875655893;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_3;N_286505;['NO_3'];['NO_N_3'];60.78219442047412;2.8961421395531044;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_4;N_286533;['NO_4'];['NO_N_4'];54.78877631323162;3.2984040199654383;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_5;N_286281;['BE_5'];['NO_N_5'];51.34967653644987;3.2284748483936863;BE;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_6;N_286365;['NO_6'];['NO_N_6'];61.18532142098584;1.844167218716536;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_7;N_278329;['NO_8'];['NO_N_7'];60.6451326397547;3.724809886770192;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_8;N_286729;['NO_9'];['NO_N_8'];60.549682202750056;4.834238521222291;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_9;N_271301;['NO_12'];['NO_N_9'];61.206403038532414;1.8288655889803;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_10;N_282221;['NO_14'];['NO_N_10'];66.0270733295091;8.086585211621832;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_11;N_287261;['NO_15'];['NO_N_11'];65.08422923098904;6.799674199493331;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_12;N_287065;['NO_16'];['NO_N_12'];56.489709742026285;3.3290292860187574;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_13;N_277265;['NO_17'];['NO_N_13'];55.46163349013938;4.550243326544268;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_14;N_280541;['NO_18'];['NO_N_14'];60.4901443092602;2.8272835824771203;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_15;N_280569;['NO_19'];['NO_N_15'];59.5747349163949;2.2266321092207297;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_16;N_277797;['NO_20'];['NO_N_16'];58.367949216535806;1.9089060028100853;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_17;N_277797;['NO_22'];['NO_N_17'];58.1881647534963;2.4710663357038194;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_18;N_271945;['NO_23'];['NO_N_18'];58.367950216584966;1.908907002791055;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_19;N_377218;['NO_24'];['NO_N_19'];54.508639946178604;6.034542375052693;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_20;N_286141;['DE_25'];['NO_N_20'];53.34547799895728;7.18802338147323;DE;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_21;N_272421;['NO_26'];['NO_N_21'];65.32556250869906;7.315715796112963;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_22;N_286309;['NO_27'];['NO_N_22'];63.39431668992888;8.65333010006602;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_23;N_272421;['NO_28'];['NO_N_23'];65.32536749808995;7.315513801872188;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_24;N_271777;['NO_30'];['NO_N_24'];59.573595880052125;2.227133179788655;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_25;N_280569;['NO_32'];['NO_N_25'];59.164660885642185;2.4857423644394028;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_26;N_280569;['GB_34'];['NO_N_26'];57.578020575878384;-1.8269691252251694;GB;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
NO_N_27;N_286729;['NO_38'];['NO_N_27'];60.54783724577219;4.843810900154141;NO;None;{'exact': 1, 'elevation_m': None};{'exact': 0, 'elevation_m': 0};{'exact': 'make_Attrib(const)', 'elevation_m': 'make_Attrib(const)'};{}
