id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
NO_PS_0;42 Gas ASGARD ERB, KARSTO;['NO_307674'];['NO_N_0', 'NO_N_1'];[65.10640013242656, 65.10638815222, 65.0714056974962, 65.0655844456173, 65.04660959870426, 64.98667783449118, 64.9693660519805, 64.92694409872846, 64.83089364837598, 64.82275224935141, 64.78902147895505, 64.76411023703746, 64.75522182129869, 64.73811608524095, 64.72905865644907, 64.70481139263434, 64.69100171548618, 64.68160923116729, 64.6309787027487, 64.58994557823719, 64.5754788617079, 64.5703446246658, 64.55627500468464, 64.53305008026823, 64.52396369234033, 64.45550153547288, 64.4156746458448, 64.41022639760558, 64.40149103235679, 64.38279031362315, 64.3732989057411, 64.34302446164247, 64.33677518760888, 64.31683134875607, 64.31130010525668, 64.28493890065123, 64.2717092513502, 64.26629899754535, 64.06686594058162, 64.05860254379232, 64.03006004913846, 63.960918547952815, 63.95425423198618, 63.94894399586106, 63.93560345302911, 63.93136127188114, 63.92197983091707, 63.914640442160696, 63.89285319431747, 63.885932823698134, 63.87007802874638, 63.86570282532372, 63.84977211815227, 63.844758876926704, 63.83918958765948, 63.83433331643858, 63.8288389857868, 63.813453957264244, 63.80799063917034, 63.802600353528895, 63.78224432736956, 63.776667069224075, 63.75631016808068, 63.74651769612105, 63.68970663443787, 63.65648191973717, 63.534932882125915, 63.35413688419563, 63.18246318350693, 63.13184348611074, 63.11478751118178, 62.88799826334987, 62.72469449910076, 62.57453948249864, 62.525990823272544, 62.463358623193336, 62.456819261814914, 62.437634141256545, 62.432281848846024, 62.386476521333975, 62.37238073882585, 62.30023291905684, 62.33153457574122, 62.3037851068389, 62.14907263299678, 62.04884831508891, 62.0411729478628, 61.93833129080425, 61.83901073680408, 61.81993687279976, 61.752531896155794, 61.709480959362345, 61.68334175414682, 61.65745362490071, 61.6194539232589, 61.563810555619305, 61.493876321123736, 61.40937651921906, 61.31219318071768, 61.28361191678381, 61.27749666288691, 61.27176343804237, 60.958827601738804, 60.94691016534729, 60.63886291946921, 60.588710269139206, 60.44333446124789, 60.32209537887766, 60.2359145570482, 60.0275686661006, 59.99319651118227, 59.93463160581408, 59.88389793911484, 59.860715131612565, 59.80250523989039, 59.73903415288226, 59.73032090060867, 59.7235617351468, 59.655595855410745, 59.63726549871739, 59.60250970141143, 59.596642542266764, 59.5829131034522, 59.5759359033701, 59.55927249759543, 59.54431808358232, 59.50302700599734, 59.48595260591368, 59.465581058480154, 59.458599892989476, 59.45339680239348, 59.449177757804996, 59.43993878183831, 59.433426752159136, 59.42030056140877, 59.41634447876573, 59.40578122299325, 59.39461492975443, 59.38743977653218, 59.35064991362009, 59.34447779639716, 59.339502755272775, 59.3358787980747, 59.33287295056802, 59.332862188736044];[6.797264624118895, 6.79896568661213, 6.800041072173593, 6.7993914384667065, 6.7950895521566474, 6.773881783092168, 6.769054760206243, 6.754156038092226, 6.7176980682139105, 6.712754426307486, 6.682406554404003, 6.665450580636373, 6.661687027965306, 6.659798079031213, 6.655517517912707, 6.634319344103947, 6.62580494069647, 6.618016274959766, 6.582842314452577, 6.547915733692954, 6.538300328550894, 6.5363295905515475, 6.533399395381537, 6.536828014155193, 6.535961568599926, 6.509676036364555, 6.489802883507619, 6.487936165694222, 6.487683714243261, 6.492423072822006, 6.491210634476345, 6.475318001109496, 6.474046353257422, 6.472963580187078, 6.471749888104427, 6.46224322338559, 6.45370576066123, 6.451194014478324, 6.382412118945664, 6.377706469745653, 6.351020318387151, 6.296192705503302, 6.2926939965331306, 6.291214273441049, 6.291708113766384, 6.291148356085357, 6.286525775036043, 6.27923897613901, 6.24973630166967, 6.242515478955111, 6.230495040221378, 6.228510240760346, 6.224079066352089, 6.221117272131196, 6.216043439425638, 6.210028530666832, 6.20123056551265, 6.168003368748434, 6.160146434067883, 6.154751579218621, 6.138757276671932, 6.136294533223568, 6.130724585503369, 6.124818980867169, 6.0633953432096295, 6.033729350270846, 5.944304659346199, 5.808189890668406, 5.6640522332814776, 5.610236420279956, 5.58657563614277, 5.32999939531943, 5.148054872527548, 4.982911108121239, 4.923687960432073, 4.8661196602418695, 4.857845764783568, 4.82858091158587, 4.822080005764528, 4.780803268924797, 4.762613481783334, 4.684616049165143, 4.718448369792201, 4.688439971644288, 4.522777005875677, 4.416954410848051, 4.4120056936162815, 4.366255110563339, 4.316946184024262, 4.308242986715639, 4.283388997596377, 4.2645298200076365, 4.25069584977743, 4.242068024776278, 4.225821634598034, 4.211726282754699, 4.173154953635714, 4.134569408322546, 4.092321419900135, 4.0807326197127605, 4.079560915992861, 4.079509225571385, 4.108420886498932, 4.110552582344753, 4.245695764169834, 4.268669038842772, 4.332597388660643, 4.37920891631815, 4.418330407378203, 4.505718339066808, 4.518446405236229, 4.545055059817965, 4.566650171325945, 4.5727384783317895, 4.598946072104913, 4.625336910733168, 4.631733517863311, 4.639159060924291, 4.727279933055812, 4.755623608458107, 4.799125481177467, 4.804387904695909, 4.811070730483863, 4.816405206528813, 4.835247520980867, 4.84792357581234, 4.888446644633754, 4.909055023902536, 4.927677493609117, 4.935936051636907, 4.944875548671147, 4.954581023323549, 4.986196364979739, 5.004521194838113, 5.030317541646785, 5.035949884836896, 5.0479957134419395, 5.05877653179838, 5.06870514497451, 5.1130080924919685, 5.122791654992694, 5.135238241349948, 5.150525849963037, 5.173214646922088, 5.193623243315089];['NO', 'NO'];None;{'diameter_mm': 1067.0, 'keep': 1.0, 'lat_mean': 62.42292106025248, 'length_km': 691.3345386788765, 'long_mean': 5.509252728207707, 'max_cap_M_m3_per_d': 70.0, 'start_year': 2000, 'waterDepth_m': 372.0, 'is_H_gas': 1};{'diameter_mm': 0, 'keep': 0, 'lat_mean': 2.0072251615319607, 'length_km': 0.006896551724137931, 'long_mean': 0.9197238293060793, 'max_cap_M_m3_per_d': 0, 'start_year': 0, 'waterDepth_m': 0, 'is_H_gas': 0};{'diameter_mm': 'raw', 'keep': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'raw', 'start_year': 'raw', 'waterDepth_m': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
NO_PS_1;9.3 Gas VESLEFRIKK A, STT-IN;['NO_309000'];['NO_N_2', 'NO_N_3'];[60.56035586908638, 60.560914911059776, 60.56520907383557, 60.769832790841065, 60.772699909330875, 60.77615807370612, 60.78211740014904, 60.78219442047412];[2.895158875655893, 2.8967668932319004, 2.896598662351545, 2.884184448430888, 2.884803313448709, 2.887228199970134, 2.894784103713421, 2.8961421395531044];['NO', 'NO'];None;{'diameter_mm': 236.0, 'keep': 1.0, 'lat_mean': 60.69618530606037, 'length_km': 24.936751091707247, 'long_mean': 2.8919583295444493, 'max_cap_M_m3_per_d': None, 'start_year': 1990, 'waterDepth_m': 176.0, 'is_H_gas': 1};{'diameter_mm': 0, 'keep': 0, 'lat_mean': 0.1038980640880051, 'length_km': 0.125, 'long_mean': 0.005176742982305727, 'max_cap_M_m3_per_d': None, 'start_year': 0, 'waterDepth_m': 0, 'is_H_gas': 0};{'diameter_mm': 'raw', 'keep': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'start_year': 'raw', 'waterDepth_m': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
NO_PS_2;40 Gas ZEEPIPE-SCP, ZEEBRUGGE;['NO_310326'];['NO_N_4', 'NO_N_5'];[54.78877631323162, 54.62843277100228, 54.17824208553879, 53.69755557799867, 53.262627089492966, 53.246798584341846, 53.23762930402725, 53.22320687943222, 53.124537034638784, 52.827678500726165, 52.795869589368316, 52.7818331710049, 52.768212745686036, 52.75586234445874, 52.51931556371774, 52.50749619169143, 52.49862892323187, 52.41448241952888, 52.39812090696866, 52.16870747677852, 52.15472400173725, 52.1431125915034, 52.10544719266413, 52.09434079728621, 52.083940439521804, 52.07077400252987, 51.83035425008762, 51.63031447988052, 51.61716104808776, 51.60747774461323, 51.60004152052792, 51.58769616508145, 51.57026869942282, 51.55313333399843, 51.53659399699195, 51.526149808606895, 51.394702732509316, 51.3807805002686, 51.374083339192644, 51.36883318524507, 51.34967653644987];[3.2984040199654383, 3.28085414095209, 3.209498703522583, 3.1353648208748073, 3.090372769814031, 3.09036527384928, 3.091426591254613, 3.0945071241043154, 3.1204078736011764, 3.1961029755918693, 3.204087151153907, 3.206159634617467, 3.206452062389697, 3.205333416984055, 3.1728838967025257, 3.1726122500297187, 3.1733405370255374, 3.1838063372182033, 3.1834988247411724, 3.1552000473017046, 3.151361374159261, 3.146761612184605, 3.1257142393792057, 3.120998458998452, 3.1176786902232076, 3.114874015501233, 3.0810803156475908, 3.020509736976767, 3.0175880503974843, 3.016710310459683, 3.0168295284413094, 3.0184939240700643, 3.024041556111355, 3.033214577303187, 3.0466623614122517, 3.0572999042959186, 3.216901291690337, 3.2326830466986243, 3.2358993117496877, 3.2359664645167823, 3.2284748483936863];['NO', 'BE'];None;{'diameter_mm': 1016.0, 'keep': 1.0, 'lat_mean': 52.37569804485542, 'length_km': 389.48380838332116, 'long_mean': 3.1397663919586543, 'max_cap_M_m3_per_d': None, 'start_year': 1993, 'waterDepth_m': 39.9, 'is_H_gas': 1};{'diameter_mm': 0, 'keep': 0, 'lat_mean': 0.8813989505269175, 'length_km': 0.024390243902439025, 'long_mean': 0.07777587177129998, 'max_cap_M_m3_per_d': None, 'start_year': 0, 'waterDepth_m': 0, 'is_H_gas': 0};{'diameter_mm': 'raw', 'keep': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'start_year': 'raw', 'waterDepth_m': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
NO_PS_3;30 Gas STAT-SSTC, KARSTO;['NO_313556'];['NO_N_6', 'NO_N_1'];[61.18532142098584, 61.1735100969537, 61.16870998569168, 61.16376589379228, 61.158798840180026, 61.13333471109721, 61.12335958211587, 61.05407255159421, 60.88234292174657, 60.79771860187375, 60.6686395487502, 60.66125539255655, 60.533063194350795, 60.401169997241766, 60.397108956067385, 60.39375595734497, 60.38915905282618, 60.37671865524025, 60.37345773764936, 60.36727667896661, 60.351879385999126, 60.33340406122959, 60.3286869531259, 60.31389557475976, 60.28747495110003, 60.26911049647158, 60.24658306508893, 60.23338778831095, 60.22042648711208, 60.21630142222688, 60.20521830765332, 60.172222673829225, 60.16034447943186, 60.138583022709945, 60.11105552001942, 60.08459595992801, 60.0677987730315, 60.06328470154945, 60.02826696389474, 60.01257270957484, 59.88659828396718, 59.86853088346314, 59.828252092697014, 59.809157687785735, 59.79284341106092, 59.75786473013443, 59.73927840137284, 59.71896397870246, 59.67612214858015, 59.648107764931375, 59.643904691652885, 59.63781255290527, 59.58958332227193, 59.58246715138834, 59.57508902474706, 59.552605817313946, 59.54489667206474, 59.52418516321754, 59.496998570237196, 59.490168045011444, 59.463306220141135, 59.455453018706116, 59.449082893339515, 59.34300658382575, 59.33849054652712, 59.3353595595494, 59.33317060739415, 59.33050177820412, 59.326896062054814, 59.32638519638624, 59.327730496335306, 59.3359423937446, 59.33705357201233, 59.33684577769815, 59.333208957394746, 59.332862188736044];[1.844167218716536, 1.8544151797612212, 1.8601436158227025, 1.8677831156663394, 1.8784257044334849, 1.9441950483914874, 1.963955181815514, 2.0909597393781514, 2.4005142023408426, 2.551501194987637, 2.779058755965756, 2.7890594407361387, 2.9244341651343384, 3.149525616405527, 3.1585510903064153, 3.1687875628614512, 3.1902244269381446, 3.354615878428507, 3.3710385274755503, 3.385151259102972, 3.4086797400927153, 3.4390375777920257, 3.4447909881866883, 3.4597031826819347, 3.4904714346095225, 3.5101709484271386, 3.544373096910258, 3.562490298057159, 3.5779504086774683, 3.585336834139601, 3.6099461162467286, 3.6599022472856326, 3.6805834520096097, 3.7104474224089334, 3.7542220869460685, 3.7901524646681186, 3.8264673673568357, 3.834526828712713, 3.882376974972347, 3.909942562075824, 4.100443356836905, 4.123527918103729, 4.183228633702968, 4.2091033213928215, 4.236809925545285, 4.289135153660181, 4.319620944867454, 4.347808750744626, 4.412228697911103, 4.467306652432742, 4.47429405810676, 4.48177456863856, 4.530200289034704, 4.538211862358641, 4.550637576751781, 4.603077177480395, 4.615013892251265, 4.637392528322368, 4.672881851276924, 4.678498110833904, 4.694166793058012, 4.702103381898934, 4.711759952932388, 4.938799360061654, 4.950051890704025, 4.961166354946383, 4.972238775580322, 4.995328567568456, 5.031068770127717, 5.0441641744729075, 5.065453734364789, 5.1157678329327, 5.127435123479551, 5.145680665213971, 5.1727196174210786, 5.193623243315089];['NO', 'NO'];None;{'diameter_mm': 762.0, 'keep': 1.0, 'lat_mean': 60.030478412100365, 'length_km': 286.0080187354886, 'long_mean': 3.8486947692796987, 'max_cap_M_m3_per_d': None, 'start_year': 1985, 'waterDepth_m': 300.0, 'is_H_gas': 1};{'diameter_mm': 0, 'keep': 0, 'lat_mean': 0.5639575169777137, 'length_km': 0.013157894736842105, 'long_mean': 0.9551225297462755, 'max_cap_M_m3_per_d': None, 'start_year': 0, 'waterDepth_m': 0, 'is_H_gas': 0};{'diameter_mm': 'raw', 'keep': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'start_year': 'raw', 'waterDepth_m': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
NO_PS_4;36 Gas TROLL A, KOLLSNES;['NO_314542'];['NO_N_7', 'NO_N_8'];[60.6451326397547, 60.645323115687674, 60.64453026642707, 60.6306188148198, 60.60456184539873, 60.536647614709985, 60.50717934136652, 60.49995047912524, 60.49756259291597, 60.49672376733573, 60.49747055387733, 60.49974383993818, 60.50323114581592, 60.52720488562328, 60.549682202750056];[3.724809886770192, 3.7620739849172034, 3.776500455422564, 3.862912751959646, 4.105440338024752, 4.458136387941501, 4.608608407708303, 4.642310787933967, 4.65897641017587, 4.6757189561673425, 4.696566945290574, 4.713218333486176, 4.727624594915523, 4.796252481265164, 4.834238521222291];['NO', 'NO'];None;{'diameter_mm': 914.0, 'keep': 1.0, 'lat_mean': 60.55237087370308, 'length_km': 65.61549926529314, 'long_mean': 4.402892616213404, 'max_cap_M_m3_per_d': None, 'start_year': 1996, 'waterDepth_m': 347.0, 'is_H_gas': 1};{'diameter_mm': 0, 'keep': 0, 'lat_mean': 0.06031125704978028, 'length_km': 0.06666666666666667, 'long_mean': 0.40941924672849295, 'max_cap_M_m3_per_d': None, 'start_year': 0, 'waterDepth_m': 0, 'is_H_gas': 0};{'diameter_mm': 'raw', 'keep': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'start_year': 'raw', 'waterDepth_m': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
NO_PS_5;36 Gas TROLL A, KOLLSNES;['NO_314576'];['NO_N_7', 'NO_N_8'];[60.6451326397547, 60.64317172161721, 60.64028801710412, 60.63473433470959, 60.602982828920304, 60.49982846156839, 60.49560960967373, 60.49519229368774, 60.495940456326345, 60.49794374269999, 60.50052596150751, 60.52719688903402, 60.549682202750056];[3.724809886770192, 3.7373323613382174, 3.7696834737354608, 3.8120160225276485, 4.1089995259702565, 4.641270762870732, 4.666431733455176, 4.682102623126969, 4.693318922899099, 4.710865351154862, 4.720888525363506, 4.796564491043074, 4.834238521222291];['NO', 'NO'];None;{'diameter_mm': 914.0, 'keep': 1.0, 'lat_mean': 60.556017627642596, 'length_km': 65.65263138014853, 'long_mean': 4.376809400113652, 'max_cap_M_m3_per_d': None, 'start_year': 1997, 'waterDepth_m': 347.0, 'is_H_gas': 1};{'diameter_mm': 0, 'keep': 0, 'lat_mean': 0.06353610881962542, 'length_km': 0.07692307692307693, 'long_mean': 0.44341095069115005, 'max_cap_M_m3_per_d': None, 'start_year': 0, 'waterDepth_m': 0, 'is_H_gas': 0};{'diameter_mm': 'raw', 'keep': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'start_year': 'raw', 'waterDepth_m': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
NO_PS_6;30 Gas STATFJORD B, STAT-SSTC;['NO_318010'];['NO_N_9', 'NO_N_6'];[61.206403038532414, 61.20596998767023, 61.18532142098584];[1.8288655889803, 1.8262575370114544, 1.844167218716536];['NO', 'NO'];None;{'diameter_mm': 762.0, 'keep': 1.0, 'lat_mean': 61.19923148239616, 'length_km': 2.6370268232263143, 'long_mean': 1.8330967815694301, 'max_cap_M_m3_per_d': None, 'start_year': 1985, 'waterDepth_m': 145.0, 'is_H_gas': 1};{'diameter_mm': 0, 'keep': 0, 'lat_mean': 0.00983748747026878, 'length_km': 0.3333333333333333, 'long_mean': 0.007900059819987301, 'max_cap_M_m3_per_d': None, 'start_year': 0, 'waterDepth_m': 0, 'is_H_gas': 0};{'diameter_mm': 'raw', 'keep': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'start_year': 'raw', 'waterDepth_m': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
NO_PS_7;16 Gas NORNE ERB, NORNE/HEIDRUN T;['NO_319132'];['NO_N_10', 'NO_N_11'];[66.0270733295091, 66.03461122233705, 66.03578610056198, 66.03552691927946, 66.03362665528284, 66.03027735399247, 66.02558502288387, 66.02022070578727, 66.01604748821262, 66.0122253088075, 65.98140094910526, 65.97001747590772, 65.96419621776651, 65.91358780424298, 65.906003419779, 65.86248309230324, 65.84367615932851, 65.83346771392577, 65.82695939843613, 65.82396023617277, 65.81391265092375, 65.80448193205186, 65.7991486033899, 65.7611895676376, 65.7246886685379, 65.71716626704935, 65.71005491009879, 65.70263849870216, 65.69959430736218, 65.68989662049825, 65.67252360651625, 65.65681363456532, 65.63362708656271, 65.59710977056594, 65.57969855702473, 65.5610662259892, 65.51147217787529, 65.46914122757471, 65.46238871704531, 65.45800944362855, 65.45407223588359, 65.42772695397366, 65.37347134086356, 65.33887780173625, 65.32587723438796, 65.31002251496722, 65.30685635306799, 65.26442704817285, 65.26104683484508, 65.25224919695133, 65.24333059793251, 65.21753408668802, 65.20507442560248, 65.17211360186565, 65.1497961918335, 65.13341520619272, 65.12537275104032, 65.11554514688243, 65.10400130210719, 65.09037434117272, 65.08778813231534, 65.085628852136, 65.08422923098904];[8.086585211621832, 8.049952275789764, 8.035274630789567, 8.020745093151788, 8.005136630697196, 7.99162435131804, 7.980457256940544, 7.972929349330344, 7.969554515997286, 7.968156733270531, 7.96428376514426, 7.9653086077705195, 7.9644519857133345, 7.942484711062593, 7.937239044184883, 7.896733556792352, 7.885406442938344, 7.8844501200532, 7.881150449543889, 7.878190546808611, 7.864722738061047, 7.837636371099828, 7.828952414651774, 7.792946698166718, 7.7632301135033455, 7.756237371962055, 7.751546688410944, 7.743322892885875, 7.738034904854274, 7.714613695874004, 7.6910600134438365, 7.665076124627933, 7.617081927697724, 7.551842006791016, 7.511467699108599, 7.465527269203192, 7.385117687556028, 7.287001952985897, 7.26798671189772, 7.260522735840396, 7.257023876196616, 7.242717150681102, 7.215395845411127, 7.208600948218103, 7.206963770594495, 7.202632686463978, 7.200227812604905, 7.156537079376469, 7.15054808814501, 7.1279918556371085, 7.109142767445553, 7.073263195053345, 7.061720612881881, 7.024843484883916, 6.985108536241274, 6.9600837249260525, 6.950211905367923, 6.934112979023002, 6.903849653220438, 6.871178380308759, 6.862755247975175, 6.846844815577928, 6.799674199493331];['NO', 'NO'];None;{'diameter_mm': 406.0, 'keep': 1.0, 'lat_mean': 65.59286010204491, 'length_km': 128.26541323732675, 'long_mean': 7.525801141480453, 'max_cap_M_m3_per_d': None, 'start_year': 2001, 'waterDepth_m': 430.0, 'is_H_gas': 1};{'diameter_mm': 0, 'keep': 0, 'lat_mean': 0.32286944267459694, 'length_km': 0.015873015873015872, 'long_mean': 0.40477511078260664, 'max_cap_M_m3_per_d': None, 'start_year': 0, 'waterDepth_m': 0, 'is_H_gas': 0};{'diameter_mm': 'raw', 'keep': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'start_year': 'raw', 'waterDepth_m': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
NO_PS_8;36 Gas NORPIPE Y, B-11;['NO_319166'];['NO_N_12', 'NO_N_13'];[56.489709742026285, 56.48672665745502, 56.47371234349503, 56.47010726739638, 56.45623691671912, 56.441553564529336, 56.422761137727804, 56.30318627870742, 56.264666384736444, 56.20071202763529, 56.19727297120549, 56.183916683072184, 56.16872733304711, 56.15796611503218, 56.133601591060824, 56.130204531226056, 56.09286770692045, 56.081687482408405, 56.06098101441545, 56.03743346284711, 56.03276637649112, 55.94471133785859, 55.92695895535068, 55.89219915248219, 55.884829996594874, 55.82842871696599, 55.82126156848398, 55.809786300960184, 55.77244947357689, 55.7575931253326, 55.74842992784705, 55.70116221695891, 55.688030996722, 55.6841309508675, 55.65257847170792, 55.46163349013938];[3.3290292860187574, 3.3306764447778288, 3.3424942583349124, 3.3466835075679904, 3.3579143381240786, 3.3714012584881563, 3.390672487952691, 3.500879958309773, 3.538557411491352, 3.6118027526864562, 3.617145022389291, 3.632026916265012, 3.6470438822864732, 3.6602286326813025, 3.6874852624572165, 3.6924105188970278, 3.732323963684818, 3.746171744326769, 3.7673570726015866, 3.7897775378020486, 3.7961808790999045, 3.8818753890969773, 3.90155955962649, 3.9354507273911428, 3.943859218329518, 4.000729775000716, 4.009163257640625, 4.0201009632657625, 4.059361351803726, 4.073331257970057, 4.083434855224061, 4.162088622104297, 4.181978616239381, 4.189575955366003, 4.241700454113648, 4.550243326544268];['NO', 'NO'];None;{'diameter_mm': 914.0, 'keep': 1.0, 'lat_mean': 56.051693951944536, 'length_km': 138.23755650738798, 'long_mean': 3.781186568498892, 'max_cap_M_m3_per_d': None, 'start_year': 1977, 'waterDepth_m': 75.0, 'is_H_gas': 1};{'diameter_mm': 0, 'keep': 0, 'lat_mean': 0.278592460935473, 'length_km': 0.027777777777777776, 'long_mean': 0.303642771519567, 'max_cap_M_m3_per_d': None, 'start_year': 0, 'waterDepth_m': 0, 'is_H_gas': 0};{'diameter_mm': 'raw', 'keep': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': None, 'start_year': 'raw', 'waterDepth_m': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
NO_PS_9;36 Gas OSEBERG D, HEIMDAL HRP;['NO_319676'];['NO_N_14', 'NO_N_15'];[60.4901443092602, 60.488979268957664, 60.484848003579565, 60.479857741189896, 60.4708353241696, 60.42688421060757, 60.41826681585747, 60.406940314340716, 60.40166010082124, 60.36695678264523, 60.24163470737025, 60.20567229552815, 60.19967204661943, 60.1950178351767, 60.173150793831624, 60.133808051146225, 60.111498988650624, 59.99485473810632, 59.97532279851361, 59.92017503629881, 59.90975652712506, 59.88653535214452, 59.79714091136518, 59.773862743539425, 59.70257723063005, 59.60422599639641, 59.59885774727481, 59.58792130090927, 59.583118141585814, 59.57550795486702, 59.5747349163949];[2.8272835824771203, 2.8276256534949726, 2.819238625765153, 2.813665724976562, 2.808083035005395, 2.7743733532336714, 2.769288655486859, 2.7639560916682613, 2.763056340901885, 2.7637721686916965, 2.7410110002419406, 2.7377857592785984, 2.7361920219092952, 2.7335121839510217, 2.717140835734764, 2.697875298776772, 2.6810709577248892, 2.616570054261434, 2.600937598949472, 2.548082884736366, 2.539068154779294, 2.515802665773963, 2.4323727999958678, 2.4096613258737816, 2.344849065194971, 2.22451758480264, 2.2207947473367002, 2.217991212273688, 2.2196314968334367, 2.2273730916201986, 2.2266321092207297];['NO', 'NO'];None;{'diameter_mm': 914.0, 'keep': 1.0, 'lat_mean': 60.07033609628723, 'length_km': 109.04927558186641, 'long_mean': 2.5909424542248845, 'max_cap_M_m3_per_d': 35.0, 'start_year': 2001, 'waterDepth_m': 122.0, 'is_H_gas': 1};{'diameter_mm': 0, 'keep': 0, 'lat_mean': 0.3263508407788347, 'length_km': 0.03225806451612903, 'long_mean': 0.21844527189025642, 'max_cap_M_m3_per_d': 0, 'start_year': 0, 'waterDepth_m': 0, 'is_H_gas': 0};{'diameter_mm': 'raw', 'keep': 'raw', 'lat_mean': 'make_Attrib(latlong_mean)', 'length_km': 'replace_length(PipeSegments)', 'long_mean': 'make_Attrib(latlong_mean)', 'max_cap_M_m3_per_d': 'raw', 'start_year': 'raw', 'waterDepth_m': 'raw', 'is_H_gas': 'make_Attrib(const)'};{}
